,score,HNA_mean_abs,HNA_mean_rel
Otu000173,0.7233333333333334,1.0029895432915021,0.0019899735946079244
Otu000001,0.6466666666666666,1.002989543291502,0.06055693994532541
Otu000060,0.61,1.0029895432915017,0.0039379463740319125
Otu000313,0.5033333333333333,1.0029895432915026,0.0006733649629526653
Otu000137,0.47333333333333333,1.0029895432915026,0.0038963200951523595
Otu000088,0.45666666666666667,1.0029895432915021,0.0027221124916467104
Otu000384,0.41333333333333333,1.0029895432915001,0.0002241265113441491
Otu000119,0.4,1.002989543291502,0.0030057074331776776
Otu000059,0.39666666666666667,1.002989543291502,0.004585039257062974
Otu000025,0.39,1.0029895432915024,0.011308259954994751
Otu000981,0.38666666666666666,1.0029895432915004,0.0004207049899710362
Otu000074,0.38666666666666666,1.002989543291502,0.0030245430666594373
Otu000215,0.38333333333333336,1.002989543291503,0.0022557888754914223
Otu001084,0.38333333333333336,1.0029895432915028,0.00019082571912367574
Otu000160,0.38,1.0029895432915008,0.006317361276045216
Otu000778,0.37,1.0029895432915032,0.0002951487592155217
Otu000126,0.36,1.0029895432915026,0.002642291147547406
Otu000075,0.36,1.0029895432915017,0.009329469606014936
Otu000917,0.3433333333333333,1.002989543291503,0.0006481586790405845
Otu000335,0.3433333333333333,1.0029895432915026,0.0018137175222259455
Otu000274,0.3433333333333333,1.0029895432915024,0.0010019349264999244
Otu001517,0.3333333333333333,1.0029895432914981,3.241667016010334e-05
Otu000321,0.33,1.0029895432915037,0.0011167028208476566
Otu000017,0.33,1.002989543291502,0.017587661145408846
Otu001086,0.32666666666666666,1.002989543291503,0.00018615199920612522
Otu000570,0.3233333333333333,1.0029895432915024,0.0008626791483838203
Otu001586,0.32,1.002989543291503,0.0001333981691529857
Otu002061,0.31666666666666665,1.0029895432915035,7.707191742307133e-05
Otu000998,0.31333333333333335,1.0029895432915013,0.00013134819001963167
Otu001312,0.31333333333333335,1.002989543291501,0.000239753216515069
Otu000027,0.30666666666666664,1.0029895432915021,0.010365461139846032
Otu001661,0.30666666666666664,1.0029895432915021,0.00017801353611147756
Otu000175,0.29333333333333333,1.002989543291502,0.0061670289490964115
Otu000139,0.29,1.0029895432915024,0.0025867567117922757
Otu000108,0.29,1.002989543291502,0.004127114456093404
Otu000042,0.2866666666666667,1.0029895432915026,0.010089155915687608
Otu001634,0.2833333333333333,1.0029895432915026,5.795342540255487e-05
Otu003709,0.28,1.0029895432915024,7.820658081217822e-05
Otu002488,0.27666666666666667,1.0029895432915013,3.615602539310392e-05
Otu000292,0.27666666666666667,1.0029895432915015,0.0011542457615810573
Otu004032,0.2733333333333333,1.002989543291499,0.00016521231843911452
Otu002102,0.2733333333333333,1.0029895432915024,0.0001333450917830216
Otu001929,0.27,1.0029895432915001,0.00016838124339250374
Otu000022,0.26666666666666666,1.002989543291502,0.032034598452677664
Otu000367,0.26,1.0029895432915013,0.0021429326678034035
Otu003869,0.25666666666666665,1.0029895432915004,5.085469774722161e-05
Otu002422,0.25333333333333335,1.0029895432915026,8.490926850962222e-05
Otu000101,0.25333333333333335,1.0029895432915017,0.0015349006198693558
Otu004062,0.25,1.002989543291503,6.424836589177189e-05
Otu003041,0.24666666666666667,1.002989543291498,1.620833508005163e-05
Otu000087,0.24666666666666667,1.0029895432915021,0.0017693528762107804
Otu001332,0.24666666666666667,1.0029895432915024,5.1163097770837126e-05
Otu000948,0.24333333333333335,1.0029895432915028,0.0001164754896270252
Otu000967,0.24,1.0029895432915032,0.0005255229902742702
Otu000816,0.23666666666666666,1.0029895432915008,0.0008478615994321197
Otu002722,0.23666666666666666,1.0029895432915015,9.355644943117592e-05
Otu000149,0.23333333333333334,1.002989543291502,0.0021798620387216794
Otu000707,0.23,1.0029895432915041,0.00016578264054873014
Otu000629,0.23,1.0029895432915021,6.607111935931358e-05
Otu005098,0.22666666666666666,1.0029895432915001,1.6208335080051635e-05
Otu005040,0.22666666666666666,1.0029895432915024,4.797360267387832e-05
Otu000682,0.22666666666666666,1.0029895432915008,0.0004793423701954084
Otu000142,0.22666666666666666,1.0029895432915024,0.0013031822988595202
Otu000203,0.22333333333333333,1.0029895432915032,0.00229881890349503
Otu001574,0.22333333333333333,1.0029895432915006,0.00015568229033150038
Otu002617,0.22,1.0029895432915001,0.00012364910064898172
Otu001685,0.21666666666666667,1.002989543291503,3.212418294588588e-05
Otu006800,0.21666666666666667,1.002989543291498,1.620833508005163e-05
Otu000904,0.21666666666666667,1.0029895432915008,0.00022891830668393494
Otu001666,0.21333333333333335,1.0029895432915017,0.00021502420578461804
Otu000943,0.21333333333333335,1.0029895432915017,0.00012681462775676063
Otu000005,0.21333333333333335,1.002989543291502,0.03282215000492525
Otu001664,0.21,1.0029895432915001,0.00013793774033339344
Otu009013,0.20666666666666667,1.002989543291502,6.673445307278842e-05
Otu000187,0.20666666666666667,1.0029895432915017,0.0014104776327840773
Otu000217,0.20333333333333334,1.0029895432915026,0.0037461332079832773
Otu002589,0.20333333333333334,1.0029895432915032,9.277975368393721e-05
Otu000296,0.20333333333333334,1.0029895432915024,0.0010471074837928925
Otu001181,0.2,1.002989543291502,4.536114859405677e-05
Otu000043,0.2,1.0029895432915015,0.007046081744816278
Otu000743,0.19666666666666666,1.002989543291501,0.0007144262550963011
Otu003048,0.19666666666666666,1.0029895432915013,9.264401146978977e-05
Otu000242,0.19333333333333333,1.0029895432915024,0.0016751365216069538
Otu001754,0.19333333333333333,1.0029895432915015,0.0001283926288074475
Otu000539,0.19333333333333333,1.0029895432915035,0.00035929941632619497
Otu006873,0.19333333333333333,1.0029895432914997,3.615602539310387e-05
Otu000839,0.19,1.002989543291504,0.0003595948289860907
Otu004149,0.19,1.0029895432915024,4.797360267387824e-05
Otu001669,0.19,1.0029895432915035,5.272279743929717e-05
Otu004055,0.19,1.0029895432914986,1.620833508005163e-05
Otu000104,0.19,1.002989543291502,0.004358204542469816
Otu006111,0.19,1.0029895432915004,6.036003019664256e-05
Otu001385,0.18666666666666668,1.0029895432915013,9.092148723606244e-05
Otu004173,0.18666666666666668,1.0029895432915021,6.234714104975984e-05
Otu005276,0.18666666666666668,1.0029895432915046,2.2853315362978874e-05
Otu003595,0.18666666666666668,1.0029895432915026,2.7905047769849923e-05
Otu000123,0.18333333333333332,1.0029895432915028,0.0030253772183781334
Otu000169,0.18,1.0029895432915021,0.0036770851967551986
Otu002480,0.18,1.0029895432915015,1.6208335080051638e-05
Otu000143,0.18,1.0029895432915026,0.0037177426976295236
Otu005314,0.17666666666666667,1.0029895432915001,1.6208335080051635e-05
Otu000033,0.17666666666666667,1.0029895432915021,0.006853580359748024
Otu000686,0.17666666666666667,1.0029895432915021,0.00042485748223560025
Otu000265,0.17666666666666667,1.0029895432915026,0.004165353475421006
Otu002760,0.17333333333333334,1.0029895432915015,5.7517474310111435e-05
Otu000755,0.17333333333333334,1.0029895432915008,0.0010406696844308541
Otu003232,0.17333333333333334,1.0029895432915015,1.6208335080051638e-05
Otu001327,0.17,1.0029895432915035,0.0002754760330760214
Otu000110,0.17,1.0029895432915035,0.02765287146457111
Otu006940,0.16666666666666666,1.0029895432915041,2.2853315362978878e-05
Otu000038,0.16333333333333333,1.0029895432915017,0.0076691825537984456
Otu005286,0.16333333333333333,1.0029895432915001,1.6208335080051635e-05
Otu000834,0.16333333333333333,1.0029895432915013,0.00020272159212194788
Otu002556,0.16333333333333333,1.0029895432915001,8.22841717811439e-05
Otu000222,0.16333333333333333,1.0029895432915024,0.0018865345831866407
Otu003274,0.16333333333333333,1.002989543291501,4.2551789868093064e-05
Otu001226,0.16,1.0029895432915,0.0001348933494944893
Otu001614,0.16,1.0029895432915035,3.212418294588585e-05
Otu001489,0.16,1.002989543291502,4.255178986809314e-05
Otu000064,0.16,1.0029895432915024,0.0034845918304547713
Otu003083,0.16,1.0029895432915017,0.00010020573849868487
Otu007526,0.16,1.0029895432915024,6.23471410497599e-05
Otu000430,0.15666666666666668,1.0029895432915015,0.0006025973775767939
Otu000220,0.15666666666666668,1.0029895432915026,0.005687168258938251
Otu003147,0.15666666666666668,1.0029895432915001,6.03600301966425e-05
Otu007305,0.15666666666666668,1.0029895432915013,4.5361148594056705e-05
Otu007010,0.15666666666666668,1.0029895432915046,2.285331536297887e-05
Otu000337,0.15666666666666668,1.0029895432915001,0.0004678696749198728
Otu002157,0.15666666666666668,1.0029895432915032,7.864786279063841e-05
Otu000256,0.15666666666666668,1.0029895432915041,0.0024421993942510935
Otu003795,0.15333333333333332,1.0029895432915021,3.21241829458859e-05
Otu008644,0.15333333333333332,1.002989543291503,3.950353922283311e-05
Otu000590,0.15333333333333332,1.0029895432915028,0.0009145309119727959
Otu003181,0.15333333333333332,1.0029895432915048,2.285331536297887e-05
Otu000152,0.15,1.002989543291502,0.002981809295788698
Otu003190,0.15,1.0029895432915015,5.490070522680116e-05
Otu002622,0.15,1.0029895432915,1.6208335080051635e-05
Otu005666,0.14666666666666667,1.0029895432915001,1.6208335080051635e-05
Otu000938,0.14666666666666667,1.0029895432915035,0.0004601329568796477
Otu002163,0.14666666666666667,1.002989543291502,0.00015307364529813428
Otu001464,0.14666666666666667,1.0029895432915035,0.00017994281401717113
Otu002319,0.14333333333333334,1.002989543291503,3.9503539222833097e-05
Otu000792,0.14333333333333334,1.0029895432915037,0.0001817521167959139
Otu000561,0.14333333333333334,1.0029895432915037,2.2853315362978884e-05
Otu002442,0.14333333333333334,1.0029895432915006,0.00013192181781668505
Otu005820,0.14333333333333334,1.002989543291503,3.212418294588586e-05
Otu001688,0.14333333333333334,1.0029895432915041,7.864786279063835e-05
Otu008596,0.14333333333333334,1.002989543291501,7.714332282809798e-05
Otu006267,0.14333333333333334,1.0029895432915032,5.581009553969995e-05
Otu000317,0.14,1.0029895432915032,0.0008360119060914757
Otu002663,0.13666666666666666,1.0029895432915,1.6208335080051635e-05
Otu008466,0.13666666666666666,1.0029895432914986,1.620833508005163e-05
Otu000941,0.13666666666666666,1.0029895432915013,6.559320263791595e-05
Otu002259,0.13666666666666666,1.0029895432915008,8.772500366366391e-05
Otu001713,0.13666666666666666,1.0029895432915015,5.272279743929719e-05
Otu003272,0.13666666666666666,1.0029895432915008,0.0001013297514060159
Otu001847,0.13666666666666666,1.002989543291503,6.424836589177182e-05
Otu000099,0.13666666666666666,1.0029895432915013,0.0021585439440900823
Otu005347,0.13666666666666666,1.0029895432915021,6.234714104975989e-05
Otu002409,0.13666666666666666,1.0029895432915026,7.363780126925975e-05
Otu007251,0.13666666666666666,1.0029895432915048,4.570663072595786e-05
Otu003332,0.13333333333333333,1.0029895432915024,3.5806261181379796e-05
Otu001935,0.13333333333333333,1.0029895432914984,1.620833508005163e-05
Otu000535,0.13333333333333333,1.0029895432915013,0.00021991421035094826
Otu000221,0.13333333333333333,1.0029895432915026,0.0019350552677189436
Otu002597,0.13333333333333333,1.0029895432915032,5.116309777083709e-05
Otu000342,0.13333333333333333,1.0029895432915024,0.001861322235198655
Otu000409,0.13333333333333333,1.0029895432915032,0.000502082546663443
Otu001406,0.13333333333333333,1.0029895432915024,3.910329040608904e-05
Otu001580,0.13333333333333333,1.0029895432915021,0.0001966236573358398
Otu003684,0.13333333333333333,1.0029895432915037,3.580626118137978e-05
Otu006714,0.13,1.0029895432915035,3.212418294588586e-05
Otu002268,0.13,1.0029895432915077,8.945632230660386e-05
Otu003891,0.13,1.0029895432915028,3.580626118137979e-05
Otu003300,0.13,1.0029895432915032,6.782172865658596e-05
Otu000466,0.13,1.0029895432915026,0.00014891145818071648
Otu002059,0.13,1.002989543291505,3.9503539222833076e-05
Otu000765,0.13,1.0029895432914993,0.0003394494362710164
Otu002461,0.12666666666666668,1.0029895432915041,3.9503539222833076e-05
Otu002473,0.12666666666666668,1.0029895432915032,2.285331536297889e-05
Otu001267,0.12666666666666668,1.0029895432915032,0.0002505339690365626
Otu000047,0.12666666666666668,1.0029895432915015,0.007824665141938126
Otu001425,0.12666666666666668,1.0029895432915024,0.00016540264431115178
Otu004318,0.12666666666666668,1.002989543291501,9.708001407780129e-05
Otu000389,0.12666666666666668,1.0029895432915024,0.0006991185047238007
Otu003721,0.12333333333333334,1.0029895432915035,4.2551789868093044e-05
Otu005687,0.12333333333333334,1.0029895432915028,9.315202484570826e-05
Otu004876,0.12333333333333334,1.0029895432914986,1.620833508005163e-05
Otu009997,0.12333333333333334,1.0029895432915026,2.7905047769849872e-05
Otu001677,0.12333333333333334,1.0029895432915035,0.00023162021657483338
Otu002040,0.12333333333333334,1.0029895432915028,5.7953425402554775e-05
Otu001353,0.12333333333333334,1.0029895432915048,0.00014694945769520794
Otu004672,0.12333333333333334,1.0029895432915037,2.2853315362978884e-05
