"Samples"	"Total.cells"	"HNA.cells"	"LNA.cells"	"sd.Total.cells"	"sd.HNA.cells"	"sd.LNA.cells"
"110D2F115"	621950.028568567	153177.244390186	468772.784178381	1591.72147443606	4455.95594264655	4957.66440404141
"110D2F415"	801348.922859578	176905.925913352	624442.996946227	9297.29670898131	4867.29437940896	4495.53543485876
"110D2F515"	1273340.09614904	411070.096002159	862349.806090388	15574.0554987162	11516.3688882648	4784.0739717651
"110D2F715"	544254.079296431	148567.686487912	395713.021968301	6039.93667949569	2107.43797292891	4453.61086041412
"110D2F815"	549931.194898388	147419.273364071	402525.227723025	3575.34287752168	4150.33932633987	1993.19831987389
"110D2F915"	737447.307983849	212608.851095635	524838.456888213	34903.3522526377	6740.95745372072	28619.5729217674
"110M2F115"	2046844.60562179	593020.52780261	1453890.53845787	81121.8433997329	34953.0112951789	46140.3083146402
"110M2F415"	1163874.68984235	357686.149306235	806201.862945074	3965.4182173222	1273.15908589775	2688.62188655938
"110M2F515"	1245942.6284288	389610.746055912	856358.519217882	62723.0039850257	28144.5041800243	34640.8891760715
"110M2F715"	1072075.61160812	362123.886503685	709991.693928752	56610.9418416011	21177.3434429489	35556.2806636413
"110S2F415"	1071357.16405242	324285.060877681	747098.714776428	36523.4742460063	16095.7577309811	20768.5106585343
"110S2F515"	986210.808207475	292253.73418691	693970.401489812	6067.38993452139	4279.66779342196	8356.89505813833
"110S2F715"	1146952.36988089	333214.310606032	813777.96569687	16132.4506233887	8963.51810946162	7710.90003735706
"110S2F115"	1974906.8949897	576546.684948208	1398426.67730636	286733.925398919	88274.8693004326	198640.219193373
"110S2F915"	1982840.51575088	971433.959912118	1011406.55583876	1184159.29210781	1139781.09088795	46918.8902750134
"M45D2F115"	1655863.36650778	414381.353171517	1241548.49518339	26968.9412473035	3168.19310515279	25078.6411650274
"M45D2F415"	1133733.10628443	341472.546066564	792287.209829646	11342.1626976722	7776.20766256792	4769.77313732127
"M45D2F515"	1704285.04290952	713485.663746089	990866.019440574	25458.8620125937	14282.4582374049	14914.2548623741
"M45D2F715"	660934.67265662	122954.978684443	538006.347313239	21018.4715217593	4472.6124896946	16611.0162181735
"M45D2F815"	779293.851289773	225672.271071692	553634.907687327	9119.87644922197	4913.22914461283	5296.45616743541
"M45D2F915"	1144160.79205198	283065.394847164	861095.397204812	10000.6876648997	5728.66121555709	4534.80707090602
"M45S2F415"	1241138.94675972	338020.845886034	903131.42727729	4925.81541412703	1315.91289009259	5018.13340374293
"M45S2F515"	2194446.91515387	1081860.03176006	1112719.82460033	6640.33432698576	6085.15722757307	5816.46879882491
"M45S2F715"	1095077.78117527	296206.009386379	798885.101922988	39640.3315870282	10759.5954649205	29145.5650499203
"M45S2F815"	1925128.09396971	592011.73546117	1333249.30631874	109300.104702469	41226.9222133855	69117.9319822541
"M45S2F915"	1265646.0301379	302018.022020444	963694.520475449	33420.619713784	3235.75027568316	30749.140198061
"MBRE1F714"	10142014.3509865	3110959.0771206	7031586.92456873	53908.7898206213	43103.5019534292	39986.917412078
"MBRE1F715"	7452866.48950561	1576037.10106965	5876962.6018772	65005.0502016787	45197.6448141461	30869.3947259401
"MBRE1F914"	7225270.25068139	2161488.77766361	5063981.32251785	63253.0453439697	39803.3267058722	52823.3405346885
"MBRE2F515"	4376786.18121061	2004084.78290143	2373033.98483128	96242.0139569809	72152.4555645658	31350.5510918287
"MBRE2F915"	4906068.69183207	1404112.36441317	3501956.3274189	21473.3294120128	19739.231472694	19305.4859659467
"MBRH1F714"	2695501.35144924	869931.051239586	1825570.30020965	28729.1669696081	11248.2549304033	19200.7677581722
"MBRH1F914"	3493035.74788112	1100544.18365243	2392491.56422868	21671.2923430981	14242.169975038	9901.45243924851
"MBRH2F515"	4846977.13757035	1504722.62379951	3342454.06677212	93013.8487632432	33806.9520868844	78080.5703469544
"MBRH2F915"	2841068.16209326	943284.460915811	1897916.68609031	122254.071595678	56257.9008077791	65953.0926227945
"MDPE1F714"	9400803.39526925	3352517.38623769	6048750.12162744	101165.568131965	44593.8574168333	57997.3470247006
"MDPE1F715"	7569115.09614346	1962249.85551096	5607197.97904727	49443.3446556757	45250.9203105682	38954.3372481762
"MDPE1F914"	7377304.86331753	2309490.45953509	5067947.52813076	145705.288757022	76747.9698682429	70974.8676103865
"MDPE2F515"	6112047.74069714	2434804.69867168	3677309.42457482	104966.670567538	52055.1993917166	57451.3558473305
"MDPE2F915"	5536002.95573901	1503142.529857	4033060.30330705	56684.8458593608	33730.6382952984	23993.9018712641
"MDPH1F714"	2802885.48628502	924505.848679554	1878512.51791717	27393.7419807096	14376.2645707564	13152.2242495103
"MDPH1F715"	2712393.29778016	795917.333484666	1916475.9642955	103178.684053412	37066.2564684043	70296.6774452915
"MDPH1F914"	3367795.23750122	1272126.590345	2095735.10646983	21093.4878820645	35784.2360294929	38219.250953538
"MDPH2F515"	3079881.30401611	1174174.39162263	1905905.75794304	4225.91645659899	5608.04003196125	2835.2246711822
"MDPH2F915"	4154264.16677157	1720012.81389517	2434384.48254592	19657.5220123737	15789.1851227804	23237.3893728716
"M15S2F115"	2292077.75245661	686691.827984018	1605385.92447259	41733.7383550068	14882.4420179131	30342.5245555547
"M15S2F515"	6437904.65448723	3589104.16720342	2849146.86734347	81007.6981117486	48320.047335058	60236.3296229995
"M15S2F715"	1625186.16118803	535575.729058362	1089677.00588709	57954.4978619158	21803.5044670011	36290.9579743121
"M15S2F815"	2594714.69700751	900394.048166321	1694333.95635794	37439.8525706071	15790.0409077548	22238.5373245571
"M15S2F915"	1561085.34811036	436194.507344023	1124957.33189643	58931.6300026625	21075.8840456694	40213.9999209748
"MINE1F714"	10446793.6414906	4120111.97741339	6326748.32274485	65414.7451332384	34512.7730129124	39613.8449046371
"MINE1F715"	8635444.40241565	3331126.99303133	5304717.00192511	46084.6686288923	28145.0831734467	18450.2597799359
"MINE1F914"	9477071.75534145	3768443.91817193	5708827.66539299	127513.033947726	74753.5243472812	54800.463285191
"MINE2F515"	7242588.92917538	3177425.43453656	4065429.96412872	382066.322202078	489355.229230039	116299.60710719
"MINE2F915"	6666076.7491109	2573147.38917634	4093062.5095631	73686.5337062884	50172.7980515835	37381.9894048743
"MINH1F714"	8939999.32203505	3788367.2500988	5151898.07948542	123932.347919121	31018.8354029555	92788.437330349
"MINH1F715"	8164070.57614945	3208025.57142014	4956443.92912307	348150.32882945	125104.338483927	223738.433812958
"MINH1F914"	8447993.58428613	3156074.91151901	5292385.09970494	301130.540201128	173453.716665439	129110.675481819
"MINH2F515"	6720689.89622319	2847293.62090253	3873529.43022642	93032.4229393844	18898.4103444679	75998.5504291274
"MINH2F915"	6587396.23665916	2541910.02914373	4045952.75288606	69174.7760978383	36542.2973033133	32515.5201573073
"MLBD2F915"	8190370.67017685	2371146.05009029	5819424.11603318	179100.465593613	66983.0457805218	122872.188072807
"Su13.BD.MLB.DD.1"	7591288.27874647	2147222.45747562	5444199.09862791	108678.445826851	66629.7784531905	55740.1875787215
"Fa13.BD.MLB.DN.1"	4252003.35647553	1404985.20647837	2847217.99279459	66446.8721749893	50482.4279392951	22352.0380193765
"Fa13.BD.MLB.SN.1"	4482501.38595156	1515707.16981751	2966860.87346869	60783.7849749141	7391.10095019597	65191.701665395
"Su13.BD.MLB.SD.1"	13358144.0647319	4584701.72276785	8773508.83044162	268313.613366376	134780.349313573	138250.143606329
"MLBD2F115"	6500146.34581471	2086317.00929471	4413895.98585784	87886.875417897	28562.4187231257	68382.0585495458
"MLBD2F415"	1817815.34585582	722310.217413663	1095545.03798103	30593.6190737841	10950.4654060393	19776.4313804712
"MLBD2F515"	6479874.43182708	3606513.73354955	2873719.32325412	31643.9815024562	23975.6942869603	29219.3401378354
"MLBD2F715"	5982866.82392223	2058606.43675003	3924446.86811179	105332.7232834	61154.4876197858	48723.9782395916
"MLBD2F815"	6080630.54265929	1683907.27387483	4396869.64142343	58105.1693147759	19973.7154739452	38407.4462844278
"MLBS2F115"	6405883.09892783	2019192.84115287	4386823.48852063	61645.0289078154	31979.1613454865	49977.7734583401
"MLBS2F515"	1228589.3303791	368955.80233874	859673.492610963	49093.4570692198	14493.3478112316	34975.1506149135
"MLBS2F715"	10186443.4746976	3882618.0945387	6304078.32643148	152440.754813077	91269.6393443602	66857.2450381863
"MLBS2F815"	7548900.61822262	2210096.6244188	5338937.27782794	206752.984926832	86010.1380510402	122780.629457847
"MLBS2F915"	9470576.28358741	3014359.46810406	6456416.34592518	331443.031866462	157846.086087901	176851.607967232
"Su13.BD.MM110.DN.1"	472120.640516858	145291.929859055	326828.710657803	3348.50676181276	4181.75912405475	2164.45859209641
"Fa13.BD.MM110.DN.1"	570446.676755321	200302.239651531	370210.95875326	24200.7824492976	12180.1465399994	13038.6669635838
"Su13.BD.MM110.DCMD.1"	1919472.83087505	857532.698347338	1062073.15724371	51732.4893024566	25047.0082697012	27109.2473025609
"Sp13.BD.MM110.SD.1"	1241314.24854338	364440.090296243	877007.145945103	217219.441532422	61189.1229274064	156313.968446225
"Su13.BD.MM110.SD.1"	1582433.59974375	264387.122747323	1318046.47699643	223076.448454793	40393.9458966044	183424.910185845
"Fa13.BD.MM110.SD.1"	2278440.90152273	696509.405480841	1581997.96993426	46821.1048069717	5865.38775417077	41362.200673993
"Sp13.BD.MM110.SN.1"	1765717.14962844	457132.640410786	1308584.50921765	64849.2068992067	20815.980968143	45850.9466015615
"Su13.BD.MM110.SN.1"	1710542.8503194	278650.49040506	1431892.35991434	32350.7632592794	9668.55461189736	30257.7756019681
"Fa13.BD.MM110.SN.1"	2449276.00661831	761222.777182366	1688119.73250505	13441.6422222872	8291.74944576964	17312.6730417706
"Sp13.BD.MM15.DD.1"	3056532.98763766	1441933.43633447	1614665.93120867	38516.9094228514	29706.2556070119	26797.5218164994
"Su13.BD.MM15.DN.1"	2505398.70398069	693684.986629778	1811713.71735091	28890.7340857403	9053.88330417606	20076.9078062079
"Fa13.BD.MM15.DN.1"	2060188.21008293	746258.029535319	1313930.18054761	32025.5058292489	8712.45218453166	25730.3775864993
"Sp13.BD.MM15.SD.1"	2753179.3737637	1181779.57135019	1571599.00967597	50553.2439428186	32956.1574541789	24069.6496085849
"Su13.BD.MM15.SD.1"	2796550.21578369	636088.654831346	2160528.05208242	36524.9428269852	6746.11040815269	35796.7363779642
"Fa13.BD.MM15.SD.1"	2292347.28119364	707212.412715769	1585134.86847787	35691.0908041161	21535.4525264045	28672.2525204774
"Sp13.BD.MM15.SN.1"	2803430.70680776	1284404.26063002	1519159.3769186	23315.9668587308	5388.43950423111	27500.0878372156
"Su13.BD.MM15.SN.1"	2976139.05616666	708862.051626397	2267410.01598589	35893.0163852801	18968.7105359347	23282.62069235
"Fa13.BD.MM15.SN.1"	2340235.95725728	767711.492116877	1572590.95759684	16804.6143333978	4743.67425307408	17260.8213225788
"MOTE1F714"	10714469.4292401	3755079.77505672	6959655.78334143	89333.5364124858	29871.917799435	59720.6885472753
"MOTE1F715"	7476399.39160573	1962120.58120202	5514411.993275	129650.365311282	13101.3009130307	122848.890639884
"MOTE1F914"	7035783.91335511	2221473.45560548	4814576.70915635	255818.284185729	112197.45684912	147339.783052758
"MOTE2F515"	6125539.79472758	2539060.80298521	3586678.58342546	52650.2307256145	39570.3189745468	17575.4251646632
"MOTE2F915"	5708898.78719303	1563335.45209311	4145696.63910636	34515.178810428	19307.6609002626	25568.5372040106
"MOTH1F915"	5839022.03043634	1621409.60923503	4217878.48663181	82465.6862597963	31939.8294035434	59279.7677445049
"MOTH1F714"	4971921.8214132	1419255.12552055	3552799.78439754	133545.145766468	41033.3590641171	93363.3376652824
"MOTH1F715"	3910720.25919124	894442.682169222	3016277.57702202	47191.3453798825	22387.6322397457	25211.8585124689
"MOTH1F914"	7074110.01511524	2223322.74633867	4850853.88348376	34840.5103334049	27257.8520886485	7869.7914225999
"MOTH2F515"	4193781.75402497	1605705.18600025	2588276.27380263	78233.0112432437	26562.8526371859	53343.265033676
"MBRH1F715"	2317316.07695269	674100.369196373	1643348.61579923	42014.3389706939	19033.091185629	26841.5637228283
"MDPE1F514"	4425112.40427099	2618152.13750303	1807026.78576247	113500.205630744	109143.104684981	89258.5117324517
"MDPH2F514"	3118773.35242604	1545023.68243034	1573749.66999571	43453.138090789	34078.8409288964	11854.4432445537
"MINE1F514"	5495436.05354483	3483986.26642547	2011649.4264801	122967.178556556	90845.1508752171	54399.7954963579
"MINH1F514"	5442093.55935751	3537329.88501082	1905096.08819648	81692.5691586439	36039.9065537981	51331.8426616922
"Sp13.BD.MLB.SN.1"	3725075.0624027	2030754.65458432	1694387.06248721	35956.7326089995	15712.6180402637	20571.0706137882
"MOTE1F514"	4602043.11191823	2659942.5833981	1942233.47365368	81666.1188349912	61609.1549432015	34884.7776340759
"MOTH2F514"	2501078.2982287	1186919.91698677	1314224.84055555	24595.8128797997	20271.2463487906	5845.58312699224
"Z14001F"	9016897.32372493	2211378.56502611	6759189.7519864	231594.147976534	52728.1062036601	178968.44360939
"Z14010F"	8877000.95917012	2005302.74578725	6827648.28395582	309160.351097358	71187.3267524804	233764.07416143
"Z14011F"	8132999.22411462	5142072.5529026	2964359.66489229	305314.979464889	226602.200732288	102853.176801754
"Z14012F"	9609926.07330872	2294736.70134186	7251239.34949623	377746.065208171	119194.071750332	260578.510534575
"Z14013F"	8636792.54836265	2190311.8677961	6398130.533415	96714.9634393285	11837.1479911812	106427.465568767
"Z14014F"	8769191.4308689	2214264.96554033	6489864.39257649	111523.835628769	27675.8543852869	83765.6414582952
"Z14016F"	8835415.12973745	2255341.61460263	6529964.85956734	34421.3542348993	18367.172359287	45016.6012626888
"Z14017F"	8490363.82039679	2508770.0740175	5944920.46150338	220273.217018496	64840.154283046	158372.707797396
"Z14018F"	8295806.54962519	2645172.29162144	5609990.96218866	119476.315576141	68065.1954372033	57361.6972854868
"Z14019F"	4846050.27198233	2410523.03644267	2418225.96477829	81249.7200611211	58159.2998312567	30127.2885029353
"Z14002F"	8744049.53665161	2180370.28786838	6512451.28004185	135619.950619994	42317.5770114602	102255.149478855
"Z14020F"	8433645.49172119	2741995.20588281	5640074.37304166	202947.7447871	103182.526911676	112386.192942358
"Z14021F"	5858320.22090727	1932704.27039539	3895718.92125136	69992.6869033162	26550.3434771063	44906.4713714077
"Z14022F"	5510353.29260552	1688153.14881199	3791446.65044466	92386.2317804502	31828.1138178667	66902.7521957399
"Z14023F"	8056454.60431974	4425488.18605009	3531686.78591234	197550.304731973	99039.0861958479	103372.986507656
"Z14024F"	5307727.87375902	1960338.39259188	3317685.73652194	102108.499291247	33069.0048081133	71291.7036666989
"Z14025F"	4814872.86056614	942951.327217328	3835065.90533801	84014.1184851533	11682.9150510445	73594.2089328839
"Z14026F"	4504576.8239418	905879.283062522	3572081.92911349	172584.478557724	49447.3290358639	129750.031781741
"Z14027F"	3552389.22934735	1140618.02812676	2389183.39384578	107327.801284392	47679.0069874923	66320.0980475668
"Z14028F"	4040224.2592151	824368.390116322	3182370.53461678	100078.13316465	28227.3871995612	69648.3364419892
"Z14029F"	8049155.05726348	3350072.06514709	4674734.24203864	254812.640349664	116793.994802814	137370.880195906
"Z14003F"	11576656.7578311	6309980.69550845	5171099.4795583	285459.082379719	235274.797525854	88214.1624110639
"Z14030F"	5921621.00774284	2506066.28818574	3384720.81883816	114353.613276975	61229.0309844852	56245.4787900125
"Z14031F"	5041175.03103184	2606166.33566433	2416442.21494668	61531.4899489105	27940.4694172934	29286.3746325357
"Z14032F"	5934677.64644708	2506417.72872284	3390575.67455764	45353.2350683697	49570.8902547802	28032.2151990843
"Z14033F"	5143013.40897763	1771092.75439722	3315011.37590462	118665.090592921	23339.5529546642	96345.4148682411
"Z14034F"	5417502.51155097	1871337.42979349	3499026.1964928	176478.672821887	55492.6145473795	134370.286957
"Z14035F"	4060477.98552856	1102190.31474327	2926430.33483299	55171.6764604377	24969.5047450372	30067.9977459529
"Z14036F"	5509551.47219723	1955891.58439116	3497219.11039163	42459.96480204	19537.5678133287	27158.8139199625
"Z14037F"	5095872.48880423	1263936.69257753	3801400.76688307	273143.980692501	43338.3153061238	230092.003919499
"Z14038F"	5535203.05434933	1368690.45107663	4125774.97098469	62565.7175031181	16542.5841124296	55038.9922556597
"Z14039F"	5200326.00511874	1240817.10942792	3927508.66897188	116854.799039191	37253.4559346594	80609.7747907685
"Z14004F"	8580123.74758149	2254008.797602	6282336.83705023	148847.106021768	21179.5260074561	131917.266721397
"Z14040F"	5857289.21830632	1486736.29680786	4339327.33379573	65182.5899262459	20471.7048086502	49523.2034205001
"Z14041F"	6951467.06726831	2381474.7264758	4524722.09230437	112257.276855039	58152.8739026267	58399.0696399159
"Z14042F"	6908415.29973383	2295446.4281999	4568276.30702586	69073.8517653518	56939.3872521078	21508.0254349105
"Z14043F"	3896711.48702654	958042.538843214	2909168.21185133	53721.1954410839	24726.4783435578	32403.8152917706
"Z14044F"	7385552.8965107	2425856.12375287	4915646.62728781	81129.6551037419	51478.4137987262	24560.1373198024
"Z14045F"	5981599.26590632	1649473.78268169	4297900.334021	193355.914252442	50953.6440537054	147870.241683395
"Z14046F"	5469451.4875873	1481943.80226074	3946856.63373689	41295.7997517631	15609.2630288607	30384.7983873309
"Z14047F"	6347696.62314028	2165605.08656593	4157346.44514252	40108.6019306194	14546.7728564817	36386.1351386558
"Z14048F"	5827710.40905877	1377912.46014598	4422632.2729691	20905.3530167133	22915.4631675549	11761.854669429
"Z14005F"	9396164.88113599	1877197.89819828	7482680.20124631	119748.775879492	34304.8544653397	105676.041900177
"Z14050F"	4215788.65804455	1156865.30304331	3017221.48047917	49121.2189372731	13287.1115848458	40107.2734787845
"Z14053F"	3930400.33604002	1039726.95044919	2861688.45244998	23048.714980098	25530.3536984139	13232.3628395351
"Z14055F"	7418822.4034955	3369566.76911002	3934365.628765	194631.273902541	98345.36786328	101133.81695406
"Z14057F"	6298413.15934957	2160717.25209119	4107299.72483404	24146.9054845118	25867.9244732489	10795.6802245463
"Z14059F"	5334391.98410356	1689775.51580749	3620920.00154601	92144.8947222964	34538.04894298	64341.2023912778
"Z14006F"	10096705.7526628	2054043.66344654	8000395.82085614	87243.4389735545	8572.38655669133	80755.3265440478
"Z14061F"	4182582.46629081	1400825.67753059	2751881.16387316	55201.0492454737	35107.3587580557	34804.5818189412
"Z14063F"	3846020.43193363	1271812.1631497	2549905.54855372	45592.5039452467	33812.3048289413	8612.86819132205
"Z15065F"	2120131.87581681	775196.12697888	1242515.6762856	231758.639153399	46565.535030272	177842.796613634
"Z15067F"	2026521.92563787	763164.793168181	1164391.46574004	291953.836198186	109094.679237604	172993.83901998
"Z15069F"	2577554.04970362	860581.188124699	1689257.2920615	53017.2652837496	21024.1941469601	37720.9832699091
"Z14007F"	8434938.26682341	5031894.81858047	3260813.2951892	457583.032436632	360069.857625631	194120.095470654
"Z15071F"	3733409.4302126	1533954.9233269	2149806.32001356	49111.2634621407	51072.6296949624	7990.49520039883
"Z15073F"	5647212.43804725	2244998.45772615	3349770.77635917	41626.1359730287	37429.2724405072	8793.86436398293
"Z15075F"	5796182.42947197	2350974.45436667	3398103.05464198	188827.692636728	110634.211879354	74514.84806097
"Z15077F"	6591037.28833864	2317181.29314503	4244868.32816243	79713.0986081442	49441.733584898	27311.8521162061
"Z15079F"	6614518.59833369	2305423.43783026	4280712.99437492	49667.7247658421	16449.0972716538	35964.0420563675
"Z14008F"	10316620.6761127	2108992.32129201	8176052.60635853	217096.589083273	57406.5770927077	164942.469179269
"Z14009F"	8752413.04602615	2070645.42806177	6642782.40611785	45977.777213049	32593.5077980563	16925.9654325881
