;samples;Total.cells;HNA.cells;LNA.cells;Total.count.sd;HNA.sd;LNA.sd
110D2-1015-2;110D2-1015-2;4018,896621;1988,591578;2030,305043;14,78358907;15,13025743;0,507324924
110D2-115-2;110D2-115-2;620,4209143;139,8806787;480,5402356;1,64027505;4,639951653;5,795307178
110D2-415-2;110D2-415-2;799,3139932;155,1980513;644,1159418;9,388845069;4,19874129;5,493441736
110D2-515;110D2-515;1261,369441;362,4435877;898,9258536;15,34177919;10,5046963;6,299495382
110D2-715-2;110D2-715-2;542,723614;131,1321467;411,5914673;6,139696176;2,196008338;3,96795762
110D2-815;110D2-815;548,0278659;131,820471;416,2073949;3,552009515;3,805294194;2,441935137
110D2-915-2;110D2-915-2;731,9309879;189,7462226;542,1847653;36,72639626;6,634229916;30,47392482
110M2-1015-1;110M2-1015-1;956,4448936;230,3832644;726,0616292;3,968105341;4,539171567;6,038041447
110M2-115-2;110M2-115-2;2035,27718;528,6659886;1506,611191;83,28213593;34,80229891;49,87364731
110M2-415-2;110M2-415-2;1154,532427;315,339578;839,1928486;4,00875293;0,73681438;3,796158261
110M2-515;110M2-515;1236,955439;342,9050735;894,0503651;62,59748074;26,64118412;35,95772639
110M2-715-2;110M2-715-2;1049,438927;314,1319437;735,3069829;59,04688748;24,33120816;34,77205553
110M2-815;110M2-815;2396,106852;783,3323501;1612,774502;28,78086601;25,46858471;6,001731813
110S2-1015-2;110S2-1015-2;1407,154932;349,708812;1057,44612;17,64256242;2,072228811;16,31601998
110S2_115_2;110S2_115_2;1965,601378;518,719064;1446,882314;285,4954159;78,6249528;206,8752716
110S2-415-2;110S2-415-2;1065,37907;286,1016554;779,2774148;36,50579779;15,4703792;21,20802657
110S2-515;110S2-515;976,6667207;258,3296474;718,3370733;5,745927355;4,337808723;8,414492405
110S2-715-2;110S2-715-2;1135,872153;306,3171367;829,5550165;16,48549752;8,665770238;8,07904901
110S2-815;110S2-815;1474,472781;399,1625371;1075,310244;21,36566796;12,53998298;10,38764425
110S2_915_2;110S2_915_2;1949,851989;893,6876445;1056,164345;1145,512454;1068,865184;77,63526539
M45D2-1015-1;M45D2-1015-1;922,3139412;159,6374559;762,6764853;17,39996034;3,904072636;13,59082659
M45D2-115-2;M45D2-115-2;1647,885545;372,8301987;1275,055346;26,33310634;1,400859444;26,65192494
M45D2-415-2;M45D2-415-2;1126,724256;300,9120984;825,8121574;11,03597536;5,850115758;6,035314184
M45D2-515;M45D2-515;1694,259724;610,4797691;1083,779955;25,72093409;10,80224964;16,90377507
M45D2-715-2;M45D2-715-2;657,1635451;108,7765115;548,3870336;20,69036921;3,846949671;16,97859339
M45D2-815;M45D2-815;774,089043;205,706149;568,382894;8,983157155;4,125573508;5,423820044
M45D2-915-2;M45D2-915-2;1141,301726;262,7189641;878,5827622;10,79067235;8,500398517;3,349100706
M45S1-115-1;M45S1-115-1;2307,944936;635,4049355;1672,54;22,48589939;12,2851607;22,00530765
M45S2-1015-2;M45S2-1015-2;2267,364473;663,743281;1603,621192;28,02658046;5,588856572;22,46099381
M45S2-415-2;M45S2-415-2;1232,528393;302,7134601;929,814933;5,780176205;1,449254176;5,29613539
M45S2-515-DMSO;M45S2-515-DMSO;2169,417914;939,8623429;1229,555571;6,953540136;7,142277772;6,831590983
M45S2-715-2;M45S2-715-2;1079,869359;266,3340178;813,5353415;38,44699785;9,673745116;28,89802637
M45S2-815;M45S2-815;1906,475879;531,4272257;1375,048653;111,1000044;38,25406618;73,43204047
M45S2-915-2;M45S2-915-2;1254,145438;270,7052929;983,4401456;32,11620862;0,748942889;31,38915116
MBRE1-714;MBRE1-714;10104,06602;2724,102309;7379,963708;55,10270702;57,00328631;57,71592212
MBRE1-715;MBRE1-715;7420,89866;1343,201649;6077,697011;70,40832397;44,61363427;31,71076589
MBRE1-914;MBRE1-914;7206,482849;1928,396847;5278,086001;65,17867628;42,40403364;54,01970631
MBRE2-515;MBRE2-515;4326,955645;1739,096624;2587,85902;96,17494375;70,45146776;31,36159022
MBRE2-915;MBRE2-915;4895,227607;1264,623909;3630,603698;22,8532975;16,80030478;14,09263546
MBRH1-714;MBRH1-714;2684,665697;789,2178887;1895,447808;32,63865877;17,56030872;15,81554391
MBRH1-914;MBRH1-914;3475,184587;988,4506973;2486,733889;18,520798;10,74289791;8,16331964
MBRH2-515;MBRH2-515;4833,39969;1293,993211;3539,406478;91,21146532;32,42467127;81,88252541
MBRH2-915;MBRH2-915;2827,50435;847,4783695;1980,025981;109,8318865;46,39703628;63,68118052
MDPE1-714;MDPE1-714;9365,634053;3007,82581;6357,808244;100,3518524;44,80045981;58,13229242
MDPE1-715;MDPE1-715;7539,904733;1721,378751;5818,525982;50,03173127;54,28279075;43,61652186
MDPE1-914;MDPE1-914;7360,864378;2059,672048;5301,192331;149,891638;75,02402954;75,89716088
MDPE2-515;MDPE2-515;6095,630674;2155,514548;3940,116126;104,7920411;50,6269332;62,12279334
MDPE2-915;MDPE2-915;5522,877426;1349,635455;4173,241971;60,79746975;33,7110419;30,62477363
MDPH1-714;MDPH1-714;2792,914004;836,1636558;1956,750349;26,47493709;13,52857357;13,34077381
MDPH1-715;MDPH1-715;2703,952099;713,1023333;1990,849765;105,0174351;38,21553239;69,91079354
MDPH1-914;MDPH1-914;3348,037862;1139,623799;2208,414063;23,67413538;41,72705286;39,61647438
MDPH2-515;MDPH2-515;3070,178756;1051,089388;2019,089367;6,03995441;12,23751948;7,037903373
MDPH2-915;MDPH2-915;4146,877003;1587,176345;2559,700658;19,13194141;15,91658115;20,68732738
M15S1-415-2;M15S1-415-2;1175,026853;302,2293847;872,7974682;27,25717644;8,167681451;20,31503049
M15S2-1015-2;M15S2-1015-2;4144,707836;1633,121712;2511,586125;96,51371193;58,77274485;37,84006327
M15S2-115-2;M15S2-115-2;2281,973241;621,8779175;1660,095323;43,35337873;17,12336767;28,66034734
M15S2-515-DMSO;M15S2-515-DMSO;6426,69913;3182,154208;3244,544922;80,93674208;42,00327573;58,94166143
M15S2-715-2;M15S2-715-2;1604,758197;478,0749919;1126,683205;57,91793147;19,84646666;38,2010409
M15S2-815;M15S2-815;2577,264029;815,176786;1762,087243;38,9268287;17,01966757;22,38959718
M15S2-915-2;M15S2-915-2;1545,927125;372,9690397;1172,958085;56,3246898;15,04932295;43,16603673
MINE1-714;MINE1-714;10419,6225;3659,046108;6760,576391;63,90504441;37,24916958;50,44382012
MINE1-715;MINE1-715;8596,26076;2913,853507;5682,407252;48,19201139;27,02452664;22,21162988
MINE1-914;MINE1-914;9447,100065;3360,73165;6086,368415;128,6028639;75,52509734;57,47263725
MINE2-515;MINE2-515;7217,488753;2803,428088;4414,060665;378,974444;489,935488;121,8646305
MINE2-915;MINE2-915;6647,631765;2312,988547;4334,643218;72,82450101;45,52362168;42,87152807
MINH1-714;MINH1-714;8911,216513;3319,397042;5591,819471;117,6425419;19,23992066;104,9375505
MINH1-715;MINH1-715;8121,097624;2786,736502;5334,361121;347,4542191;116,9832246;232,4792132
MINH1-914;MINH1-914;8404,619652;2792,948857;5611,670795;301,1313053;155,796909;147,726692
MINH2-515;MINH2-515;6695,260868;2505,861798;4189,399069;94,85347212;23,78071705;74,86319197
MINH2-915;MINH2-915;6566,333665;2267,897202;4298,436463;69,18606138;31,99235652;39,83685504
MLB40y-S-D_July;MLB40y-S-D_July;13328,6248;4082,957132;9245,667665;277,5605158;132,1413781;150,7499014
MLB-915-2;MLB-915-2;8170,354898;2090,056767;6080,298131;179,6932682;62,61017547;130,0846144
MLBD2-1015-2;MLBD2-1015-2;6832,964142;2147,567486;4685,396656;143,0849212;102,0763634;42,21288956
MLBD2-115-2;MLBD2-115-2;6482,022854;1890,290748;4591,732107;89,23977051;22,33885241;69,39564857
MLBD2-415-2;MLBD2-415-2;1797,394891;653,6923324;1143,702558;29,84439935;9,185359313;20,66406311
MLBD2-515-DMSO;MLBD2-515-DMSO;6467,748792;3173,102145;3294,646647;32,45626965;20,68766112;31,33691747
MLBD2-715-2;MLBD2-715-2;5956,478687;1821,746766;4134,73192;106,5176617;53,3310452;57,96003281
MLBD2-815;MLBD2-815;6064,997413;1512,762531;4552,234883;58,61818356;19,06687647;39,58909653
MLB-D-D_July;MLB-D-D_July;7578,896999;1894,802069;5684,09493;111,1018826;64,95166827;52,53774464
MLB-D-N_September;MLB-D-N_September;4233,418108;1249,638754;2983,779354;66,40780988;48,25278049;20,40898544
MLBS1-415-2;MLBS1-415-2;4030,173648;1912,291597;2117,882051;81,67425685;93,45947737;12,03100829
MLBS2-1015-2;MLBS2-1015-2;7795,911177;2541,730344;5254,180833;142,358844;70,43257288;72,02154961
MLBS2-115-2;MLBS2-115-2;6389,492958;1830,444778;4559,04818;59,49573606;25,93134924;49,63576262
MLBS2-515-DMSO;MLBS2-515-DMSO;1216,693415;321,5172723;895,1761424;49,53633707;12,21342978;37,80531421
MLBS2-715-2;MLBS2-715-2;10142,17419;3445,974731;6696,199461;159,4129541;92,2137058;72,23188882
MLBS2-815;MLBS2-815;7529,90863;1993,119508;5536,789122;204,8309089;81,78053718;125,8636094
MLBS2-915-2;MLBS2-915-2;9430,611393;2727,215881;6703,395513;335,5326351;151,8428875;186,9420122
MLB-S-N_September;MLB-S-N_September;4454,994418;1343,668598;3111,325821;59,83540169;12,33147506;68,47067566
MM110-DCMD_July;MM110-DCMD_July;1895,526594;742,792257;1152,734337;51,736376;28,96735582;22,88576472
MM110-D-N_July;MM110-D-N_July;470,7242112;131,1282349;339,5959763;3,351046423;3,548679604;1,563658299
MM110-D-N_September;MM110-D-N_September;568,9837842;182,0144591;386,9693251;24,64693633;11,88900427;14,15194835
MM110-S-D_April;MM110-S-D_April;1233,601825;332,7298451;900,87198;214,9506786;56,13015509;158,9126691
MM110-S-D_July;MM110-S-D_July;1573,259812;238,393368;1334,866444;220,2960805;36,12003161;185,0261146
MM110-S-D_September;MM110-S-D_September;2267,680202;615,5994895;1652,080713;45,32613418;6,792566394;41,49792018
MM110-S-N_April;MM110-S-N_April;1758,473265;408,4817023;1349,991562;64,09028468;22,05893255;44,73269263
MM110-S-N_July;MM110-S-N_July;1699,761618;251,0299334;1448,731685;33,2615452;10,43117575;30,31312866
MM110-S-N_September;MM110-S-N_September;2435,580554;675,3285303;1760,252024;12,63238127;12,31256847;16,63086577
MM15-D-D_April;MM15-D-D_April;3019,94742;1329,590729;1690,356691;35,08179388;25,81855921;25,52535229
MM15-D-N_July;MM15-D-N_July;2491,911735;617,4801365;1874,431599;29,05396917;9,26275169;20,82912352
MM15-D-N_September;MM15-D-N_September;2045,09525;676,2464628;1368,848787;30,76415524;7,83404871;25,1155344
MM15-S-D_April;MM15-S-D_April;2713,212175;1072,190979;1641,021197;50,10903403;37,49264308;23,42443841
MM15-S-D_July;MM15-S-D_July;2781,922711;565,4782961;2216,444415;36,36633124;7,002639501;36,36649868
MM15-S-D_September;MM15-S-D_September;2279,051153;632,6208475;1646,430306;37,16635827;21,38038518;23,4059583
MM15-S-N_April;MM15-S-N_April;2757,128082;1168,97921;1588,148872;24,02256792;2,626909072;24,4704298
MM15-S-N_July;MM15-S-N_July;2963,172842;632,7229215;2330,44992;37,60470173;16,91846804;27,24006031
MM15-S-N_September;MM15-S-N_September;2329,065235;686,9242335;1642,141002;18,03562887;7,318210684;20,11965194
MOTE1-714;MOTE1-714;10680,40905;3336,428292;7343,980758;88,64811552;34,6789324;53,97315993
MOTE1-715;MOTE1-715;7446,699551;1692,62359;5754,075961;129,6236689;22,07782787;121,1186596
MOTE1-914;MOTE1-914;7020,677316;1981,122045;5039,555271;264,49042;107,8373466;157,4050115
MOTE2-515;MOTE2-515;6112,362087;2251,85371;3860,508377;51,24308533;37,62401909;15,30744674
MOTE2-915;MOTE2-915;5694,244407;1401,867377;4292,37703;37,34201837;21,23727162;31,34113583
MOTH1-714;MOTH1-714;4961,20452;1256,1464;3705,05812;135,6958361;40,8640981;96,8178741
MOTH1-715;MOTH1-715;3892,023742;776,630043;3115,393699;49,20228605;14,56909978;34,67839291
MOTH1-914;MOTH1-914;7050,809616;1979,421196;5071,38842;39,53172207;25,55083738;14,298714
MOTH2-515;MOTH2-515;4166,163566;1406,325993;2759,837573;78,43377157;27,8786762;58,13328594
MOTH-915;MOTH-915;5739,777743;1423,389477;4316,388267;85,4958437;36,25716463;64,4432639
MRBH1-715;MRBH1-715;2309,541701;604,9956189;1704,546082;41,21500266;15,90678581;27,67813169
MUSDEPE1-epi-deep-514;MUSDEPE1-epi-deep-514;4412,737842;2396,947528;2015,790314;112,6219378;114,096596;100,6250727
MUSDEPH-hypo-deep-514;MUSDEPH-hypo-deep-514;3112,909391;1406,416197;1706,493194;42,78451351;25,04030632;17,79340622
MUSINLE1-epi-inlet-514;MUSINLE1-epi-inlet-514;5465,149289;3145,039711;2320,109578;123,7215566;95,86982959;54,19170502
MUSINLH1-hypo-inlet-514;MUSINLH1-hypo-inlet-514;5416,344337;3208,599181;2207,745156;76,61426329;26,51129562;59,1957771
Muskegon_April;Muskegon_April;3676,467696;1882,609241;1793,858455;37,19723022;17,20351665;20,13901762
MUSOUTE1-epi-outlet-514;MUSOUTE1-epi-outlet-514;4581,945151;2396,938763;2185,006388;81,91760544;63,99862508;41,87087066
MUSOUTH-hypo-outlet-514;MUSOUTH-hypo-outlet-514;2495,231206;1090,2464;1404,984806;24,5467082;18,706108;8,51154267
Z14-1;Z14-1;8928,438409;1984,212902;6944,225507;236,7400167;58,83994392;178,1943831
Z14-10;Z14-10;8804,248621;1757,149479;7047,099142;303,9184311;61,55919812;243,0974281
Z14-11;Z14-11;8050,102885;4875,708819;3174,394065;324,5615042;233,9430307;104,0775113
Z14-12;Z14-12;9491,664935;2028,965755;7462,69918;378,7664996;115,8658915;264,8044013
Z14-13;Z14-13;8550,067537;1978,617438;6571,450099;117,7327526;12,80965106;112,6377736
Z14-14;Z14-14;8640,395991;1988,570698;6651,825293;106,5346106;35,15804197;71,46161292
Z14-15;Z14-15;5143,896238;3211,289255;1932,606982;75,841248;48,84472129;28,45062104
Z14-16;Z14-16;8747,225596;2025,397278;6721,828318;35,90617505;22,51749038;43,6271826
Z14-17;Z14-17;8422,137494;2262,679908;6159,457586;231,5433322;72,72117373;160,3651956
Z14-18;Z14-18;8208,670298;2383,161648;5825,50865;116,8778448;62,57393322;62,03645686
Z14-19;Z14-19;4814,442237;2186,270767;2628,17147;79,53844981;57,76621074;34,96827477
Z14-2;Z14-2;8647,45579;1945,478791;6701,976998;131,0496372;36,62845344;102,3050651
Z14-20;Z14-20;8307,301844;2456,60432;5850,697524;213,6951183;116,5317377;112,9469103
Z14-21;Z14-21;5804,649793;1766,766636;4037,883156;70,16369605;25,55776736;46,52171029
Z14-22;Z14-22;5458,830589;1539,845069;3918,98552;101,7347988;30,00669257;76,07433631
Z14-23;Z14-23;7900,172713;4170,813043;3729,35967;213,5346296;104,0321164;110,5627561
Z14-24;Z14-24;5249,319788;1801,03307;3448,286717;104,6922048;32,26624986;72,45357443
Z14-25;Z14-25;4742,687926;784,606452;3958,081474;81,86699092;9,164109028;79,91053634
Z14-26;Z14-26;4450,146249;752,8096172;3697,336631;179,9059561;33,83749568;147,2576507
Z14-27;Z14-27;3504,815241;1019,288065;2485,527177;119,8385313;38,80597932;81,5765456
Z14-28;Z14-28;3967,728678;698,8212775;3268,9074;93,84258421;23,96432666;70,41112275
Z14-29;Z14-29;7999,722403;3044,857088;4954,865316;255,5374725;101,3071816;154,372843
Z14-3;Z14-3;11221,59609;5742,282966;5479,313126;378,5594895;289,4820028;90,69901212
Z14-30;Z14-30;5852,384968;2264,191627;3588,193341;126,8216373;79,10643298;47,74094717
Z14-31;Z14-31;5005,906675;2430,879521;2575,027153;55,54712998;21,02532082;34,60710432
Z14-32;Z14-32;5863,306715;2249,222002;3614,084713;54,61507059;65,08484518;32,72782515
Z14-33;Z14-33;5036,317322;1581,203388;3455,113933;116,6542111;29,20646137;87,953719
Z14-34;Z14-34;5326,690822;1680,237057;3646,453765;191,3366595;56,63383574;144,0756652
Z14-35;Z14-35;3995,835899;967,0667392;3028,76916;54,71443985;26,37911458;32,25742406
Z14-36;Z14-36;5413,642265;1752,827195;3660,81507;42,48294107;15,31327981;32,49971729
Z14-37;Z14-37;5036,198528;1125,569644;3910,628884;268,234155;44,55207933;225,9777801
Z14-38;Z14-38;5457,855997;1229,437904;4228,418094;63,58959693;12,9698363;56,36018271
Z14-39;Z14-39;5129,808706;1062,987774;4066,820932;114,9215337;34,9288883;82,25134958
Z14-4;Z14-4;8495,432617;2025,256226;6470,176391;155,0133051;18,95072192;136,4722547
Z14-40;Z14-40;5793,042643;1309,377303;4483,66534;66,42119456;27,00117687;52,7000173
Z14-41;Z14-41;6866,121758;2134,153988;4731,96777;104,1457616;50,02431095;60,42270801
Z14-42;Z14-42;6818,565935;2052,859515;4765,70642;66,65007366;50,2099916;20,96372283
Z14-43;Z14-43;3837,709564;825,0945648;3012,614999;59,72358685;26,96904282;33,17796266
Z14-44;Z14-44;7309,9632;2172,316521;5137,646679;78,19301484;45,71260971;32,48049101
Z14-45;Z14-45;5916,745467;1458,781524;4457,963943;196,4282412;46,90041423;150,3610169
Z14-46;Z14-46;5395,203168;1308,085503;4087,117665;41,18403421;15,21670354;32,50652221
Z14-47;Z14-47;6305,317804;1919,578208;4385,739596;44,9767604;9,461383394;36,25715153
Z14-48;Z14-48;5776,899202;1206,946024;4569,953178;16,11683988;12,82185987;8,694443944
Z14-5;Z14-5;9315,748672;1631,166394;7684,582279;111,6961466;42,46106761;105,9687314
Z14-50;Z14-50;4130,724917;1054,379193;3076,345724;60,42200262;11,06325124;49,66013283
Z14-51;Z14-51;4721,285284;1317,604332;3403,680952;69,68700182;12,68087039;58,62966599
Z14-53;Z14-53;3870,306913;880,4379836;2989,868929;30,62736914;26,17570698;17,62977041
Z14-55;Z14-55;7151,123168;3062,020685;4089,102483;198,957118;98,25061456;100,7485977
Z14-57;Z14-57;6199,51388;1852,823504;4346,690376;36,29889511;41,94171529;15,95311692
Z14-59;Z14-59;5262,967016;1470,039168;3792,927848;89,98283309;36,29969349;61,4192159
Z14-6;Z14-6;10015,62818;1819,185105;8196,443078;83,96264587;3,043429438;81,71170919
Z14-61;Z14-61;4120,768342;1225,764088;2895,004253;50,44672218;28,17746895;29,50786883
Z14-63;Z14-63;3795,547753;1108,947539;2686,600214;43,2939176;29,58495376;14,18664837
Z14-65;Z14-65;1957,204374;707,5799188;1249,624456;216,1712793;46,67359786;170,3789331
Z14-67;Z14-67;1858,277671;700,8057004;1157,471971;272,7387584;101,4310373;172,06573
Z14-69;Z14-69;2512,418891;778,5636587;1733,855232;52,50800127;20,19848344;36,60186573
Z14-7;Z14-7;8078,50246;4637,987427;3440,515033;585,024846;398,9552891;189,1663052
Z14-71;Z14-71;3579,879208;1321,206898;2258,672311;53,13133225;48,65339876;5,991882325
Z14-73;Z14-73;5534,262926;1984,381604;3549,881322;43,89585017;40,36250055;7,519806139
Z14-75;Z14-75;5699,981915;2094,257295;3605,72462;185,3392347;109,5991324;75,88184993
Z14-77;Z14-77;6536,193575;2021,500991;4514,692585;76,35780296;51,38608918;26,0343514
Z14-79;Z14-79;6556,486887;2001,412927;4555,07396;46,39932271;7,226140413;40,26208702
Z14-8;Z14-8;10257,45761;1851,866196;8405,591412;226,3276841;58,22581171;171,083164
Z14-9;Z14-9;8683,505588;1791,820237;6891,685351;54,18194396;37,2703866;16,91921186
