fcm_name;Total.cells;HNA.cells;LNA.cells;Total.count.sd;HNA.sd;LNA.sd;SampleID;FCM;Study;Blank;16S_name;Group;Station;Season;Year;Lake;Depth;Fraction;Invaded;TP;TDP;CHL;TSS;VSS;Turbidity;NO3;NH4;SRP
Z14-1;8928,438409;1984,212902;6944,225507;236,7400167;58,83994392;178,1943831;Z14.001.F;yes;Inland;no;Z14.001.F;Inland;Inlet;Summer;2014;Bishop;Top;Free;no;16,18;4,05;6,3;4,12;NA;NA;0,166;8,69;14,47
Z14-10;8804,248621;1757,149479;7047,099142;303,9184311;61,55919812;243,0974281;Z14.010.F;yes;Inland;no;Z14.010.F;Inland;Epi;Summer;2014;Big Seven;Top;Free;no;17,2;4,12;4,67;2,62;NA;NA;0,165;13,95;0
Z14-11;8050,102885;4875,708819;3174,394065;324,5615042;233,9430307;104,0775113;Z14.011.F;yes;Inland;no;Z14.011.F;Inland;Hypo;Summer;2014;Big Seven;Bottom;Free;no;48,19;17,29;5,28;2,52;NA;NA;0,163;730,43;17,01
Z14-12;9491,664935;2028,965755;7462,69918;378,7664996;115,8658915;264,8044013;Z14.012.F;yes;Inland;no;Z14.012.F;Inland;Outlet;Summer;2014;Big Seven;Top;Free;no;18,19;4,74;4,54;2,64;NA;NA;0,164;21;0,43
Z14-13;8550,067537;1978,617438;6571,450099;117,7327526;12,80965106;112,6377736;Z14.013.F;yes;Inland;no;Z14.013.F;Inland;Inlet;Summer;2014;Heron;Top;Free;no;15,26;3,86;4,38;2,3;NA;NA;0,164;5,66;0
Z14-14;8640,395991;1988,570698;6651,825293;106,5346106;35,15804197;71,46161292;Z14.014.F;yes;Inland;no;Z14.014.F;Inland;Epi;Summer;2014;Heron;Top;Free;no;19,43;3,82;4,19;2,67;NA;NA;0,164;5,6;0
Z14-15;5143,896238;3211,289255;1932,606982;75,841248;48,84472129;28,45062104;Z14.015.F1;yes;Inland;no;Z14.015.F;Inland;Hypo;Summer;2014;Heron;Bottom;Free;no;55,1;4,41;17,04;4,8;NA;NA;0,166;588,12;0,17
Z14-16;8747,225596;2025,397278;6721,828318;35,90617505;22,51749038;43,6271826;Z14.016.F;yes;Inland;no;Z14.016.F;Inland;Outlet;Summer;2014;Heron;Top;Free;no;15,05;3,59;3,86;6,6;NA;NA;0,165;9,88;0,49
Z14-17;8422,137494;2262,679908;6159,457586;231,5433322;72,72117373;160,3651956;Z14.017.F;yes;Inland;no;Z14.017.F;Inland;Inlet;Summer;2014;Lobdell;Top;Free;no;16,16;5,29;3,2;2,14;NA;NA;0,165;4,94;0,77
Z14-18;8208,670298;2383,161648;5825,50865;116,8778448;62,57393322;62,03645686;Z14.018.F;yes;Inland;no;Z14.018.F;Inland;Epi;Summer;2014;Lobdell;Top;Free;no;19,32;5,74;3,72;2,35;NA;NA;0,165;3,55;1,39
Z14-19;4814,442237;2186,270767;2628,17147;79,53844981;57,76621074;34,96827477;Z14.019.F;yes;Inland;no;Z14.019.F;Inland;Hypo;Summer;2014;Lobdell;Bottom;Free;no;54,69;44,68;0,39;2,68;NA;NA;0,208;116,47;60,18
Z14-2;8647,45579;1945,478791;6701,976998;131,0496372;36,62845344;102,3050651;Z14.002.F;yes;Inland;no;Z14.002.F;Inland;Epi;Summer;2014;Bishop;Top;Free;no;14,19;4,39;6,94;3,52;NA;NA;0,166;9,22;15,89
Z14-20;8307,301844;2456,60432;5850,697524;213,6951183;116,5317377;112,9469103;Z14.020.F;yes;Inland;no;Z14.020.F;Inland;Outlet;Summer;2014;Lobdell;Top;Free;no;16,94;6,8;3,11;2,9;NA;NA;0,165;6,04;0,7
Z14-21;5804,649793;1766,766636;4037,883156;70,16369605;25,55776736;46,52171029;Z14.021.F;yes;Inland;no;Z14.021.F;Inland;Inlet;Summer;2014;North;Top;Free;no;9,73;3,95;2,32;1,53;NA;NA;0,164;1,3;1,29
Z14-22;5458,830589;1539,845069;3918,98552;101,7347988;30,00669257;76,07433631;Z14.022.F;yes;Inland;no;Z14.022.F;Inland;Epi;Summer;2014;North;Top;Free;no;10,57;5,02;2,36;2;NA;NA;0,165;2,98;9,2
Z14-23;7900,172713;4170,813043;3729,35967;213,5346296;104,0321164;110,5627561;Z14.023.F;yes;Inland;no;Z14.023.F;Inland;Hypo;Summer;2014;North;Bottom;Free;no;75,86;6,82;8,56;6,7;NA;NA;0,165;556,58;2,44
Z14-24;5249,319788;1801,03307;3448,286717;104,6922048;32,26624986;72,45357443;Z14.024.F;yes;Inland;no;Z14.024.F;Inland;Outlet;Summer;2014;North;Top;Free;no;12,28;5,88;2,76;0,83;NA;NA;0,164;4,22;1,63
Z14-25;4742,687926;784,606452;3958,081474;81,86699092;9,164109028;79,91053634;Z14.025.F;yes;Inland;no;Z14.025.F;Inland;Inlet;Summer;2014;Bruin;Top;Free;yes;7,26;4,32;1,35;1,63;NA;NA;0,169;17,82;0
Z14-26;4450,146249;752,8096172;3697,336631;179,9059561;33,83749568;147,2576507;Z14.026.F;yes;Inland;no;Z14.026.F;Inland;Epi;Summer;2014;Bruin;Top;Free;yes;6,79;4,19;1,33;1,27;NA;NA;0,171;19,83;0,6
Z14-27;3504,815241;1019,288065;2485,527177;119,8385313;38,80597932;81,5765456;Z14.027.F;yes;Inland;no;Z14.027.F;Inland;Hypo;Summer;2014;Bruin;Bottom;Free;yes;8,08;5,23;0,75;1,22;NA;NA;0,177;441,76;0,4
Z14-28;3967,728678;698,8212775;3268,9074;93,84258421;23,96432666;70,41112275;Z14.028.F;yes;Inland;no;Z14.028.F;Inland;Outlet;Summer;2014;Bruin;Top;Free;yes;6,79;3,87;1,56;1,68;NA;NA;0,171;34,29;0,34
Z14-29;7999,722403;3044,857088;4954,865316;255,5374725;101,3071816;154,372843;Z14.029.F;yes;Inland;no;Z14.029.F;Inland;Inlet;Summer;2014;Halfmoon;Top;Free;yes;24,03;8,79;9,06;3,3;NA;NA;0,196;7,73;1,04
Z14-3;11221,59609;5742,282966;5479,313126;378,5594895;289,4820028;90,69901212;Z14.003.F;yes;Inland;no;Z14.003.F;Inland;Hypo;Summer;2014;Bishop;Bottom;Free;no;60,16;16,7;7,63;3,53;NA;NA;0,164;1056,53;19,23
Z14-30;5852,384968;2264,191627;3588,193341;126,8216373;79,10643298;47,74094717;Z14.030.F;yes;Inland;no;Z14.030.F;Inland;Epi;Summer;2014;Halfmoon;Top;Free;yes;18,18;7,71;7,97;2,45;NA;NA;0,201;5,14;1
Z14-31;5005,906675;2430,879521;2575,027153;55,54712998;21,02532082;34,60710432;Z14.031.F;yes;Inland;no;Z14.031.F;Inland;Hypo;Summer;2014;Halfmoon;Bottom;Free;yes;116,59;111,21;0,57;1,37;NA;NA;0,29;296,23;144,14
Z14-32;5863,306715;2249,222002;3614,084713;54,61507059;65,08484518;32,72782515;Z14.032.F;yes;Inland;no;Z14.032.F;Inland;Outlet;Summer;2014;Halfmoon;Top;Free;yes;17,15;8,35;6,5;2,41;NA;NA;0,202;9,31;0,31
Z14-33;5036,317322;1581,203388;3455,113933;116,6542111;29,20646137;87,953719;Z14.033.F;yes;Inland;no;Z14.033.F;Inland;Inlet;Summer;2014;Cedar;Top;Free;yes;13,82;4;3,52;3,26;NA;NA;0,166;14,66;1,03
Z14-34;5326,690822;1680,237057;3646,453765;191,3366595;56,63383574;144,0756652;Z14.034.F;yes;Inland;no;Z14.034.F;Inland;Epi;Summer;2014;Cedar;Top;Free;yes;13,3;4,7;3,64;3,22;NA;NA;0,165;222,6;0,4
Z14-35;3995,835899;967,0667392;3028,76916;54,71443985;26,37911458;32,25742406;Z14.035.F;yes;Inland;no;Z14.035.F;Inland;Hypo;Summer;2014;Cedar;Bottom;Free;yes;18,94;5,13;4,95;3,28;NA;NA;0,166;216,38;8,38
Z14-36;5413,642265;1752,827195;3660,81507;42,48294107;15,31327981;32,49971729;Z14.036.F;yes;Inland;no;Z14.036.F;Inland;Outlet;Summer;2014;Cedar;Top;Free;yes;14,05;5,72;4,27;3,18;NA;NA;0,165;4,13;0,49
Z14-37;5036,198528;1125,569644;3910,628884;268,234155;44,55207933;225,9777801;Z14.037.F;yes;Inland;no;Z14.037.F;Inland;Inlet;Summer;2014;Sand;Top;Free;yes;9,58;3,1;1,86;1,56;NA;NA;0,165;3,89;1,32
Z14-38;5457,855997;1229,437904;4228,418094;63,58959693;12,9698363;56,36018271;Z14.038.F;yes;Inland;no;Z14.038.F;Inland;Epi;Summer;2014;Sand;Top;Free;yes;8,67;2,68;1,92;2,17;NA;NA;0,165;2,59;0,34
Z14-39;5129,808706;1062,987774;4066,820932;114,9215337;34,9288883;82,25134958;Z14.039.F;yes;Inland;no;Z14.039.F;Inland;Hypo;Summer;2014;Sand;Bottom;Free;yes;11,66;3,74;3,47;2,29;NA;NA;0,173;81,48;1,15
Z14-4;8495,432617;2025,256226;6470,176391;155,0133051;18,95072192;136,4722547;Z14.004.F;yes;Inland;no;Z14.004.F;Inland;Outlet;Summer;2014;Bishop;Top;Free;no;14,26;4,73;6,19;2,78;NA;NA;0,166;11,25;11,79
Z14-40;5793,042643;1309,377303;4483,66534;66,42119456;27,00117687;52,7000173;Z14.040.F;yes;Inland;no;Z14.040.F;Inland;Outlet;Summer;2014;Sand;Top;Free;yes;11,4;4,02;1,72;2,17;NA;NA;0,164;3,97;1,4
Z14-41;6866,121758;2134,153988;4731,96777;104,1457616;50,02431095;60,42270801;Z14.041.F;yes;Inland;no;Z14.041.F;Inland;Inlet;Summer;2014;Whitmore;Top;Free;yes;13,56;2,78;3,71;2,99;NA;NA;0,168;3,83;42,56
Z14-42;6818,565935;2052,859515;4765,70642;66,65007366;50,2099916;20,96372283;Z14.042.F;yes;Inland;no;Z14.042.F;Inland;Epi;Summer;2014;Whitmore;Top;Free;yes;16,58;5,62;4,38;2,68;NA;NA;0,165;2,44;0,34
Z14-43;3837,709564;825,0945648;3012,614999;59,72358685;26,96904282;33,17796266;Z14.043.F;yes;Inland;no;Z14.043.F;Inland;Hypo;Summer;2014;Whitmore;Bottom;Free;yes;10,03;3,86;0,85;1,17;NA;NA;0,178;105,29;0
Z14-44;7309,9632;2172,316521;5137,646679;78,19301484;45,71260971;32,48049101;Z14.044.F;yes;Inland;no;Z14.044.F;Inland;Outlet;Summer;2014;Whitmore;Top;Free;yes;19,23;4,25;4,33;2,94;NA;NA;0,165;3,42;0
Z14-45;5916,745467;1458,781524;4457,963943;196,4282412;46,90041423;150,3610169;Z14.045.F;yes;Inland;no;Z14.045.F;Inland;Inlet;Summer;2014;Independence;Top;Free;yes;14,23;5,96;3,58;1,61;NA;NA;0,165;10,2;0,64
Z14-46;5395,203168;1308,085503;4087,117665;41,18403421;15,21670354;32,50652221;Z14.046.F;yes;Inland;no;Z14.046.F;Inland;Epi;Summer;2014;Independence;Top;Free;yes;14,46;5,4;5,2;1,64;NA;NA;0,165;4,95;0,35
Z14-47;6305,317804;1919,578208;4385,739596;44,9767604;9,461383394;36,25715153;Z14.047.F;yes;Inland;no;Z14.047.F;Inland;Hypo;Summer;2014;Independence;Bottom;Free;yes;19,49;4,91;5,98;1,25;NA;NA;0,167;249,87;0
Z14-48;5776,899202;1206,946024;4569,953178;16,11683988;12,82185987;8,694443944;Z14.048.F;yes;Inland;no;Z14.048.F;Inland;Outlet;Summer;2014;Independence;Top;Free;yes;15,72;5,93;4,58;1,49;NA;NA;0,166;8,43;0
Z14-5;9315,748672;1631,166394;7684,582279;111,6961466;42,46106761;105,9687314;Z14.005.F;yes;Inland;no;Z14.005.F;Inland;Inlet;Summer;2014;Woodland;Top;Free;no;13,32;4,96;2,7;2,86;NA;NA;0,164;3,66;0,77
Z14-50;4130,724917;1054,379193;3076,345724;60,42200262;11,06325124;49,66013283;Z14.050.F;yes;Inland;no;Z14.049.F;Inland;Epi;Fall;2014;North;Top;Free;no;55,38;4,04;4,84;-4,3;3,73;8,4;0,165;1373,54;0,65
Z14-51;4721,285284;1317,604332;3403,680952;69,68700182;12,68087039;58,62966599;Z14.051.F;yes;Inland;no;Z14.051.F;Inland;Hypo;Fall;2014;North;Bottom;Free;no;18,23;4,1;13,73;-2,78;3,2;2,24;0,165;6,9;0,13
Z14-53;3870,306913;880,4379836;2989,868929;30,62736914;26,17570698;17,62977041;Z14.053.F;yes;Inland;no;Z14.053.F;Inland;Epi;Fall;2014;Bruin;Top;Free;yes;9,81;2,17;2,32;-6,07;1,41;0,98;0,167;57,17;19,5
Z14-55;7151,123168;3062,020685;4089,102483;198,957118;98,25061456;100,7485977;Z14.055.F;yes;Inland;no;Z14.055.F;Inland;Hypo;Fall;2014;Bruin;Bottom;Free;yes;18,96;2,43;5,45;-2,28;2,51;18,4;0,167;807,64;26,09
Z14-57;6199,51388;1852,823504;4346,690376;36,29889511;41,94171529;15,95311692;Z14.057.F;yes;Inland;no;Z14.057.F;Inland;Epi;Fall;2014;Whitmore;Top;Free;yes;18,82;2,57;2,67;1,78;1,34;0,84;0,165;19,9;0,3
Z14-59;5262,967016;1470,039168;3792,927848;89,98283309;36,29969349;61,4192159;Z14.059.F;yes;Inland;no;Z14.059.F;Inland;Hypo;Fall;2014;Whitmore;Bottom;Free;yes;11,25;3,57;1,31;1,75;1,48;0,94;0,164;77,69;0
Z14-6;10015,62818;1819,185105;8196,443078;83,96264587;3,043429438;81,71170919;Z14.006.F;yes;Inland;no;Z14.006.F;Inland;Epi;Summer;2014;Woodland;Top;Free;no;13,74;4,99;2,26;1,38;NA;NA;0,165;7,86;0
Z14-61;4120,768342;1225,764088;2895,004253;50,44672218;28,17746895;29,50786883;Z14.061.F;yes;Inland;no;Z14.061.F;Inland;Epi;Fall;2014;Independence;Top;Free;yes;9,17;2,79;3,11;1,23;0,98;1,26;0,165;41,59;0
Z14-63;3795,547753;1108,947539;2686,600214;43,2939176;29,58495376;14,18664837;Z14.063.F;yes;Inland;no;Z14.063.F;Inland;Hypo;Fall;2014;Independence;Bottom;Free;yes;7,45;2,81;1,73;0,94;0,69;1,15;0,165;77,87;0
Z14-65;1957,204374;707,5799188;1249,624456;216,1712793;46,67359786;170,3789331;Z15.065.F;yes;Inland;no;Z15.065.F;Inland;Epi;Spring;2015;North;Top;Free;no;15,53;3,42;11,49;3,68;2,67;1,47;0,034;10,41;0
Z14-67;1858,277671;700,8057004;1157,471971;272,7387584;101,4310373;172,06573;Z15.067.F;yes;Inland;no;Z15.066.F;Inland;Hypo;Spring;2015;North;Bottom;Free;no;16,75;4,1;11,31;4,02;2,83;1,34;0,032;9,38;0,13
Z14-69;2512,418891;778,5636587;1733,855232;52,50800127;20,19848344;36,60186573;Z15.069.F;yes;Inland;no;Z15.068.F;Inland;Epi;Spring;2015;Bruin;Top;Free;yes;7,73;3,54;2,42;2,7;1,05;1,51;0,086;73,11;2,07
Z14-7;8078,50246;4637,987427;3440,515033;585,024846;398,9552891;189,1663052;Z14.007.F;yes;Inland;no;Z14.007.F;Inland;Hypo;Summer;2014;Woodland;Bottom;Free;no;62,56;5,72;30,9;5,18;NA;NA;0,165;300,3;0
Z14-71;3579,879208;1321,206898;2258,672311;53,13133225;48,65339876;5,991882325;Z15.071.F;yes;Inland;no;Z15.070.F;Inland;Hypo;Spring;2015;Bruin;Bottom;Free;yes;9,6;3,57;3,46;1,85;0,8;0,81;0,109;145,07;1,81
Z14-73;5534,262926;1984,381604;3549,881322;43,89585017;40,36250055;7,519806139;Z15.073.F;yes;Inland;no;Z15.073.F;Inland;Epi;Spring;2015;Whitmore;Top;Free;yes;11,44;3,24;2,9;1,97;1,12;0,36;0,071;45,84;0,14
Z14-75;5699,981915;2094,257295;3605,72462;185,3392347;109,5991324;75,88184993;Z15.075.F;yes;Inland;no;Z15.075.F;Inland;Hypo;Spring;2015;Whitmore;Bottom;Free;yes;20,93;3,41;3,09;2,57;1,62;0,68;0,073;66,08;0,12
Z14-77;6536,193575;2021,500991;4514,692585;76,35780296;51,38608918;26,0343514;Z15.077.F;yes;Inland;no;Z15.077.F;Inland;Epi;Spring;2015;Independence;Top;Free;yes;10,94;4,7;1,76;1,63;0,93;0,68;0;10,03;2,9
Z14-79;6556,486887;2001,412927;4555,07396;46,39932271;7,226140413;40,26208702;Z15.079.F;yes;Inland;no;Z15.079.F;Inland;Hypo;Spring;2015;Independence;Bottom;Free;yes;10,34;5,08;1,93;1,59;0,87;0,62;0;8,95;2,87
Z14-8;10257,45761;1851,866196;8405,591412;226,3276841;58,22581171;171,083164;Z14.008.F;yes;Inland;no;Z14.008.F;Inland;Outlet;Summer;2014;Woodland;Top;Free;no;15,95;5,76;3,15;1,33;NA;NA;0,164;11,48;0
Z14-9;8683,505588;1791,820237;6891,685351;54,18194396;37,2703866;16,91921186;Z14.009.F;yes;Inland;no;Z14.009.F;Inland;Inlet;Summer;2014;Big Seven;Top;Free;no;16,4;4,56;4,71;2,34;NA;NA;0,165;11,42;0
