;SampleID;FCM;Study;Blank;Duplicates;Group;Station;Season;Year;Lake;Depth;Fraction;Sampnum;Invaded;TP;TDP;CHL;TSS;VSS;Turbidity;NO3;NH4;SRP
Z14.040.P;Z14.040.P;no;Inland;no;Z14.040.P;Inland;Outlet;Summer;2014;Sand;Top;Particle;Z14.040;yes;11,4;4,02;1,72;2,17;NA;NA;0,164;3,97;1,4
Z14.041.F;Z14.041.F;yes;Inland;no;Z14.041.F;Inland;Inlet;Summer;2014;Whitmore;Top;Free;Z14.041;yes;13,56;2,78;3,71;2,99;NA;NA;0,168;3,83;42,56
Z14.041.P;Z14.041.P;no;Inland;no;Z14.041.P;Inland;Inlet;Summer;2014;Whitmore;Top;Particle;Z14.041;yes;13,56;2,78;3,71;2,99;NA;NA;0,168;3,83;42,56
Z14.042.F;Z14.042.F;yes;Inland;no;Z14.042.F;Inland;Epi;Summer;2014;Whitmore;Top;Free;Z14.042;yes;16,58;5,62;4,38;2,68;NA;NA;0,165;2,44;0,34
Z14.042.P;Z14.042.P;no;Inland;no;Z14.042.P;Inland;Epi;Summer;2014;Whitmore;Top;Particle;Z14.042;yes;16,58;5,62;4,38;2,68;NA;NA;0,165;2,44;0,34
Z14.043.F;Z14.043.F;yes;Inland;no;Z14.043.F;Inland;Hypo;Summer;2014;Whitmore;Bottom;Free;Z14.043;yes;10,03;3,86;0,85;1,17;NA;NA;0,178;105,29;0
Z14.043.P;Z14.043.P;no;Inland;no;Z14.043.P;Inland;Hypo;Summer;2014;Whitmore;Bottom;Particle;Z14.043;yes;10,03;3,86;0,85;1,17;NA;NA;0,178;105,29;0
Z14.044.F;Z14.044.F;yes;Inland;no;Z14.044.F;Inland;Outlet;Summer;2014;Whitmore;Top;Free;Z14.044;yes;19,23;4,25;4,33;2,94;NA;NA;0,165;3,42;0
Z14.044.P;Z14.044.P;no;Inland;no;Z14.044.P;Inland;Outlet;Summer;2014;Whitmore;Top;Particle;Z14.044;yes;19,23;4,25;4,33;2,94;NA;NA;0,165;3,42;0
Z14.045.F;Z14.045.F;yes;Inland;no;Z14.045.F;Inland;Inlet;Summer;2014;Independence;Top;Free;Z14.045;yes;14,23;5,96;3,58;1,61;NA;NA;0,165;10,2;0,64
Z14.045.P;Z14.045.P;no;Inland;no;Z14.045.P;Inland;Inlet;Summer;2014;Independence;Top;Particle;Z14.045;yes;14,23;5,96;3,58;1,61;NA;NA;0,165;10,2;0,64
Z14.046.F;Z14.046.F;yes;Inland;no;Z14.046.F;Inland;Epi;Summer;2014;Independence;Top;Free;Z14.046;yes;14,46;5,4;5,2;1,64;NA;NA;0,165;4,95;0,35
Z14.046.P;Z14.046.P;no;Inland;no;Z14.046.P;Inland;Epi;Summer;2014;Independence;Top;Particle;Z14.046;yes;14,46;5,4;5,2;1,64;NA;NA;0,165;4,95;0,35
Z14.047.F;Z14.047.F;yes;Inland;no;Z14.047.F;Inland;Hypo;Summer;2014;Independence;Bottom;Free;Z14.047;yes;19,49;4,91;5,98;1,25;NA;NA;0,167;249,87;0
Z14.047.P;Z14.047.P;no;Inland;no;Z14.047.P;Inland;Hypo;Summer;2014;Independence;Bottom;Particle;Z14.047;yes;19,49;4,91;5,98;1,25;NA;NA;0,167;249,87;0
Z14.048.F;Z14.048.F;yes;Inland;no;Z14.048.F;Inland;Outlet;Summer;2014;Independence;Top;Free;Z14.048;yes;15,72;5,93;4,58;1,49;NA;NA;0,166;8,43;0
Z14.048.P;Z14.048.P;no;Inland;no;Z14.048.P;Inland;Outlet;Summer;2014;Independence;Top;Particle;Z14.048;yes;15,72;5,93;4,58;1,49;NA;NA;0,166;8,43;0
Z14.049.F;Z14.049.F;no;Inland;no;Z14.049.F;Inland;Epi;Fall;2014;North;Top;Free;Z14.049;no;20,32;4,31;13,88;0,21;2,79;1,83;0,164;4,78;1,47
Z14.049.P;Z14.049.P;no;Inland;no;Z14.049.P;Inland;Epi;Fall;2014;North;Top;Particle;Z14.049;no;20,32;4,31;13,88;0,21;2,79;1,83;0,164;4,78;1,47
Z14.050.F;Z14.050.F;yes;Inland;no;Z14.049.F;Inland;Epi;Fall;2014;North;Top;Free;Z14.050;no;55,38;4,04;4,84;-4,3;3,73;8,4;0,165;1373,54;0,65
Z14.050.P;Z14.050.P;no;Inland;no;Z14.049.P;Inland;Epi;Fall;2014;North;Top;Particle;Z14.050;no;55,38;4,04;4,84;-4,3;3,73;8,4;0,165;1373,54;0,65
Z14.051.F;Z14.051.F;yes;Inland;no;Z14.051.F;Inland;Hypo;Fall;2014;North;Bottom;Free;Z14.051;no;18,23;4,1;13,73;-2,78;3,2;2,24;0,165;6,9;0,13
Z14.051.P;Z14.051.P;no;Inland;no;Z14.051.P;Inland;Hypo;Fall;2014;North;Bottom;Particle;Z14.051;no;18,23;4,1;13,73;-2,78;3,2;2,24;0,165;6,9;0,13
Z14.052.F;Z14.052.F;no;Inland;no;Z14.051.F;Inland;Hypo;Fall;2014;North;Bottom;Free;Z14.052;no;37,97;4,36;5,36;-3,12;4,76;7,9;0,164;986,07;0
Z14.052.P;Z14.052.P;no;Inland;no;Z14.051.P;Inland;Hypo;Fall;2014;North;Bottom;Particle;Z14.052;no;37,97;4,36;5,36;-3,12;4,76;7,9;0,164;986,07;0
Z14.053.F;Z14.053.F;yes;Inland;no;Z14.053.F;Inland;Epi;Fall;2014;Bruin;Top;Free;Z14.053;yes;9,81;2,17;2,32;-6,07;1,41;0,98;0,167;57,17;19,5
Z14.053.P;Z14.053.P;no;Inland;no;Z14.053.P;Inland;Epi;Fall;2014;Bruin;Top;Particle;Z14.053;yes;9,81;2,17;2,32;-6,07;1,41;0,98;0,167;57,17;19,5
Z14.054.F;Z14.054.F;no;Inland;no;Z14.053.F;Inland;Epi;Fall;2014;Bruin;Top;Free;Z14.054;yes;6,94;1,79;2,32;-4,75;1,16;0,98;0,165;60,01;0
Z14.054.P;Z14.054.P;no;Inland;no;Z14.053.P;Inland;Epi;Fall;2014;Bruin;Top;Particle;Z14.054;yes;6,94;1,79;2,32;-4,75;1,16;0,98;0,165;60,01;0
Z14.055.F;Z14.055.F;yes;Inland;no;Z14.055.F;Inland;Hypo;Fall;2014;Bruin;Bottom;Free;Z14.055;yes;18,96;2,43;5,45;-2,28;2,51;18,4;0,167;807,64;26,09
Z14.055.P;Z14.055.P;no;Inland;no;Z14.055.P;Inland;Hypo;Fall;2014;Bruin;Bottom;Particle;Z14.055;yes;18,96;2,43;5,45;-2,28;2,51;18,4;0,167;807,64;26,09
Z14.056.F;Z14.056.F;no;Inland;no;Z14.055.F;Inland;Hypo;Fall;2014;Bruin;Bottom;Free;Z14.056;yes;19,07;3,16;5,31;1,48;2,65;18,6;0,164;923,07;0,65
Z14.056.P;Z14.056.P;no;Inland;no;Z14.055.P;Inland;Hypo;Fall;2014;Bruin;Bottom;Particle;Z14.056;yes;19,07;3,16;5,31;1,48;2,65;18,6;0,164;923,07;0,65
Z14.057.F;Z14.057.F;yes;Inland;no;Z14.057.F;Inland;Epi;Fall;2014;Whitmore;Top;Free;Z14.057;yes;18,82;2,57;2,67;1,78;1,34;0,84;0,165;19,9;0,3
Z14.057.P;Z14.057.P;no;Inland;no;Z14.057.P;Inland;Epi;Fall;2014;Whitmore;Top;Particle;Z14.057;yes;18,82;2,57;2,67;1,78;1,34;0,84;0,165;19,9;0,3
Z14.058.F;Z14.058.F;no;Inland;no;Z14.057.F;Inland;Epi;Fall;2014;Whitmore;Top;Free;Z14.058;yes;11,99;2,42;2,65;1,74;1,41;0,86;0,165;18,82;0,07
Z14.058.P;Z14.058.P;no;Inland;no;Z14.057.P;Inland;Epi;Fall;2014;Whitmore;Top;Particle;Z14.058;yes;11,99;2,42;2,65;1,74;1,41;0,86;0,165;18,82;0,07
Z14.059.F;Z14.059.F;yes;Inland;no;Z14.059.F;Inland;Hypo;Fall;2014;Whitmore;Bottom;Free;Z14.059;yes;11,25;3,57;1,31;1,75;1,48;0,94;0,164;77,69;0
Z14.059.P;Z14.059.P;no;Inland;no;Z14.059.P;Inland;Hypo;Fall;2014;Whitmore;Bottom;Particle;Z14.059;yes;11,25;3,57;1,31;1,75;1,48;0,94;0,164;77,69;0
Z14.060.F;Z14.060.F;no;Inland;no;Z14.059.F;Inland;Hypo;Fall;2014;Whitmore;Bottom;Free;Z14.060;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA
Z14.060.P;Z14.060.P;no;Inland;no;Z14.059.P;Inland;Hypo;Fall;2014;Whitmore;Bottom;Particle;Z14.060;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA
Z14.061.F;Z14.061.F;yes;Inland;no;Z14.061.F;Inland;Epi;Fall;2014;Independence;Top;Free;Z14.061;yes;9,17;2,79;3,11;1,23;0,98;1,26;0,165;41,59;0
Z14.061.P;Z14.061.P;no;Inland;no;Z14.061.P;Inland;Epi;Fall;2014;Independence;Top;Particle;Z14.061;yes;9,17;2,79;3,11;1,23;0,98;1,26;0,165;41,59;0
Z14.062.F;Z14.062.F;no;Inland;no;Z14.061.F;Inland;Epi;Fall;2014;Independence;Top;Free;Z14.062;yes;10,39;3,43;2,84;1,2;1,16;0,85;0,165;67,38;0
Z14.062.P;Z14.062.P;no;Inland;no;Z14.061.P;Inland;Epi;Fall;2014;Independence;Top;Particle;Z14.062;yes;10,39;3,43;2,84;1,2;1,16;0,85;0,165;67,38;0
Z14.063.F;Z14.063.F;yes;Inland;no;Z14.063.F;Inland;Hypo;Fall;2014;Independence;Bottom;Free;Z14.063;yes;7,45;2,81;1,73;0,94;0,69;1,15;0,165;77,87;0
Z14.063.P;Z14.063.P;no;Inland;no;Z14.063.P;Inland;Hypo;Fall;2014;Independence;Bottom;Particle;Z14.063;yes;7,45;2,81;1,73;0,94;0,69;1,15;0,165;77,87;0
Z14.064.F;Z14.064.F;no;Inland;no;Z14.063.F;Inland;Hypo;Fall;2014;Independence;Bottom;Free;Z14.064;yes;8,69;2,87;1,61;1,04;0,82;1,17;0,167;8,65;28,12
Z14.064.P;Z14.064.P;no;Inland;no;Z14.063.P;Inland;Hypo;Fall;2014;Independence;Bottom;Particle;Z14.064;yes;8,69;2,87;1,61;1,04;0,82;1,17;0,167;8,65;28,12
Z15.065.F;Z15.065.F;yes;Inland;no;Z15.065.F;Inland;Epi;Spring;2015;North;Top;Free;Z15.065;no;15,53;3,42;11,49;3,68;2,67;1,47;0,034;10,41;0
Z15.065.P;Z15.065.P;no;Inland;no;Z15.065.P;Inland;Epi;Spring;2015;North;Top;Particle;Z15.065;no;15,53;3,42;11,49;3,68;2,67;1,47;0,034;10,41;0
Z15.066.F;Z15.066.F;no;Inland;no;Z15.066.F;Inland;Hypo;Spring;2015;North;Bottom;Free;Z15.066;no;21,76;5,93;11,77;3,7;2,85;1,55;0,035;9,65;0,08
Z15.066.P;Z15.066.P;no;Inland;no;Z15.066.P;Inland;Hypo;Spring;2015;North;Bottom;Particle;Z15.066;no;21,76;5,93;11,77;3,7;2,85;1,55;0,035;9,65;0,08
Z15.067.F;Z15.067.F;yes;Inland;no;Z15.066.F;Inland;Hypo;Spring;2015;North;Bottom;Free;Z15.067;no;16,75;4,1;11,31;4,02;2,83;1,34;0,032;9,38;0,13
Z15.067.P;Z15.067.P;no;Inland;no;Z15.066.P;Inland;Hypo;Spring;2015;North;Bottom;Particle;Z15.067;no;16,75;4,1;11,31;4,02;2,83;1,34;0,032;9,38;0,13
Z15.068.F;Z15.068.F;no;Inland;no;Z15.068.F;Inland;Epi;Spring;2015;Bruin;Top;Free;Z15.068;yes;20,26;2,56;12,09;4,82;2,95;1,18;0,033;8,69;0,14
Z15.068.P;Z15.068.P;no;Inland;no;Z15.068.P;Inland;Epi;Spring;2015;Bruin;Top;Particle;Z15.068;yes;20,26;2,56;12,09;4,82;2,95;1,18;0,033;8,69;0,14
Z15.069.F;Z15.069.F;yes;Inland;no;Z15.068.F;Inland;Epi;Spring;2015;Bruin;Top;Free;Z15.069;yes;7,73;3,54;2,42;2,7;1,05;1,51;0,086;73,11;2,07
Z15.069.P;Z15.069.P;no;Inland;no;Z15.068.P;Inland;Epi;Spring;2015;Bruin;Top;Particle;Z15.069;yes;7,73;3,54;2,42;2,7;1,05;1,51;0,086;73,11;2,07
Z15.070.F;Z15.070.F;no;Inland;no;Z15.070.F;Inland;Hypo;Spring;2015;Bruin;Bottom;Free;Z15.070;yes;10,28;3,1;2,5;3,03;1,02;1,17;0,079;71,89;1,73
Z15.070.P;Z15.070.P;no;Inland;no;Z15.070.P;Inland;Hypo;Spring;2015;Bruin;Bottom;Particle;Z15.070;yes;10,28;3,1;2,5;3,03;1,02;1,17;0,079;71,89;1,73
Z15.071.F;Z15.071.F;yes;Inland;no;Z15.070.F;Inland;Hypo;Spring;2015;Bruin;Bottom;Free;Z15.071;yes;9,6;3,57;3,46;1,85;0,8;0,81;0,109;145,07;1,81
Z15.071.P;Z15.071.P;no;Inland;no;Z15.070.P;Inland;Hypo;Spring;2015;Bruin;Bottom;Particle;Z15.071;yes;9,6;3,57;3,46;1,85;0,8;0,81;0,109;145,07;1,81
Z15.072.F;Z15.072.F;no;Inland;no;Z15.065.F;Inland;Epi;Spring;2015;North;Top;Free;Z15.072;no;8,91;3,96;3,57;2,35;0,85;0,8;0,103;130,39;2,44
Z15.072.P;Z15.072.P;no;Inland;no;Z15.065.P;Inland;Epi;Spring;2015;North;Top;Particle;Z15.072;no;8,91;3,96;3,57;2,35;0,85;0,8;0,103;130,39;2,44
Z15.073.F;Z15.073.F;yes;Inland;no;Z15.073.F;Inland;Epi;Spring;2015;Whitmore;Top;Free;Z15.073;yes;11,44;3,24;2,9;1,97;1,12;0,36;0,071;45,84;0,14
Z15.073.P;Z15.073.P;no;Inland;no;Z15.073.P;Inland;Epi;Spring;2015;Whitmore;Top;Particle;Z15.073;yes;11,44;3,24;2,9;1,97;1,12;0,36;0,071;45,84;0,14
Z15.074.F;Z15.074.F;no;Inland;no;Z15.073.F;Inland;Epi;Spring;2015;Whitmore;Top;Free;Z15.074;yes;11,72;3,47;2,87;1,7;1,14;0,64;0,07;47,04;0,04
Z15.074.P;Z15.074.P;no;Inland;no;Z15.073.P;Inland;Epi;Spring;2015;Whitmore;Top;Particle;Z15.074;yes;11,72;3,47;2,87;1,7;1,14;0,64;0,07;47,04;0,04
Z15.075.F;Z15.075.F;yes;Inland;no;Z15.075.F;Inland;Hypo;Spring;2015;Whitmore;Bottom;Free;Z15.075;yes;20,93;3,41;3,09;2,57;1,62;0,68;0,073;66,08;0,12
Z15.075.P;Z15.075.P;no;Inland;no;Z15.075.P;Inland;Hypo;Spring;2015;Whitmore;Bottom;Particle;Z15.075;yes;20,93;3,41;3,09;2,57;1,62;0,68;0,073;66,08;0,12
Z15.076.F;Z15.076.F;no;Inland;no;Z15.075.F;Inland;Hypo;Spring;2015;Whitmore;Bottom;Free;Z15.076;yes;17,34;3,12;2,73;2,09;1,17;0,54;0,069;61,08;0
Z15.076.P;Z15.076.P;no;Inland;no;Z15.075.P;Inland;Hypo;Spring;2015;Whitmore;Bottom;Particle;Z15.076;yes;17,34;3,12;2,73;2,09;1,17;0,54;0,069;61,08;0
Z15.077.F;Z15.077.F;yes;Inland;no;Z15.077.F;Inland;Epi;Spring;2015;Independence;Top;Free;Z15.077;yes;10,94;4,7;1,76;1,63;0,93;0,68;0;10,03;2,9
Z15.077.P;Z15.077.P;no;Inland;no;Z15.077.P;Inland;Epi;Spring;2015;Independence;Top;Particle;Z15.077;yes;10,94;4,7;1,76;1,63;0,93;0,68;0;10,03;2,9
Z15.078.F;Z15.078.F;no;Inland;no;Z15.077.F;Inland;Epi;Spring;2015;Independence;Top;Free;Z15.078;yes;15,66;4,73;1,78;1,51;0,86;0,61;0;9,19;2,44
Z15.078.P;Z15.078.P;no;Inland;no;Z15.077.P;Inland;Epi;Spring;2015;Independence;Top;Particle;Z15.078;yes;15,66;4,73;1,78;1,51;0,86;0,61;0;9,19;2,44
Z15.079.F;Z15.079.F;yes;Inland;no;Z15.079.F;Inland;Hypo;Spring;2015;Independence;Bottom;Free;Z15.079;yes;10,34;5,08;1,93;1,59;0,87;0,62;0;8,95;2,87
Z15.079.P;Z15.079.P;no;Inland;no;Z15.079.P;Inland;Hypo;Spring;2015;Independence;Bottom;Particle;Z15.079;yes;10,34;5,08;1,93;1,59;0,87;0,62;0;8,95;2,87
Z15.080.F;Z15.080.F;no;Inland;no;Z15.079.F;Inland;Hypo;Spring;2015;Independence;Bottom;Free;Z15.080;yes;11,44;5,03;1,86;1,52;0,84;0,83;0;9,83;2,98
Z15.080.P;Z15.080.P;no;no;no;Inland;Hypo;Spring;2015;Independence;Bottom;Particle;Z15.080;yes;11,44;5,03;1,86;1,52;0,84;0,83;0;9,83;2,98;
